     59.236         S VIII  E1         2s2.2p5-2s2.2p4.(1S).3s 2Po-2S   4 - 2  4.322e+10 1.137e-02    16   0.000000 - 209.304000 063
     59.593         S VIII  E1         2s2.2p5-2s2.2p4.(1S).3s 2Po-2S   2 - 2  3.162e+10 1.683e-02    16   1.250600 - 209.304000 063
     61.59354       S VIII  E1         2s2.2p5-2s2.2p4.(1D).3s 2Po-2D   4 - 4  4.873e+09 2.772e-03    16   0.000000 - 201.294200 063
     61.59923       S VIII  E1         2s2.2p5-2s2.2p4.(1D).3s 2Po-2D   4 - 6  7.325e+10 6.250e-02    16   0.000000 - 201.275600 063
     61.97860       S VIII  E1         2s2.2p5-2s2.2p4.(1D).3s 2Po-2D   2 - 4  6.949e+10 8.004e-02    16   1.250600 - 201.294200 063
     63.027         S VIII  E1         2s2.2p5-2s2.2p4.(3P).3s 2Po-2P   4 - 2  7.002e+10 2.085e-02    16   0.000000 - 196.716000 063
     63.3063        S VIII  E1         2s2.2p5-2s2.2p4.(3P).3s 2Po-2P   4 - 4  1.588e+11 9.541e-02    16   0.000000 - 195.848100 063
     63.430         S VIII  E1         2s2.2p5-2s2.2p4.(3P).3s 2Po-2P   2 - 2  1.201e+11 7.244e-02    16   1.250600 - 196.716000 063
     63.7131        S VIII  E1         2s2.2p5-2s2.2p4.(3P).3s 2Po-2P   2 - 4  2.285e+10 2.781e-02    16   1.250600 - 195.848100 063
     63.74100       S VIII] E1         2s2.2p5-2s2.2p4.(3P).3s 2Po-4P   4 - 2  1.478e+07 4.501e-06    16   0.000000 - 194.512500 063
     63.88923       S VIII] E1         2s2.2p5-2s2.2p4.(3P).3s 2Po-4P   4 - 4  7.764e+09 4.751e-03    16   0.000000 - 194.061200 063
     64.13175       S VIII] E1         2s2.2p5-2s2.2p4.(3P).3s 2Po-4P   4 - 6  4.327e+08 4.002e-04    16   0.000000 - 193.327300 063
     64.15348       S VIII] E1         2s2.2p5-2s2.2p4.(3P).3s 2Po-4P   2 - 2  1.255e+09 7.744e-04    16   1.250600 - 194.512500 063
     64.30364       S VIII] E1         2s2.2p5-2s2.2p4.(3P).3s 2Po-4P   2 - 4  6.029e+08 7.475e-04    16   1.250600 - 194.061200 063
     64.874         S VIII  E1          2s.2p6-2s.2p5.(3Po).3s  2S-2Po  2 - 2  9.611e+10 6.064e-02     3  62.445300 - 253.561000 063
     65.149         S VIII  E1          2s.2p6-2s.2p5.(3Po).3s  2S-2Po  2 - 4  9.489e+10 1.208e-01     3  62.445300 - 252.754000 063
     76.756         S VIII  E1          2s.2p6-2s2.2p4.(1S).3p  2S-2Po  2 - 2  9.143e+08 8.075e-04    16  62.445300 - 223.976000 063
     76.805         S VIII  E1          2s.2p6-2s2.2p4.(1S).3p  2S-2Po  2 - 4  1.333e+09 2.358e-03    16  62.445300 - 223.873000 063
     78.7615        S VIII  E1          2s.2p6-2s2.2p4.(1D).3p  2S-2Po  2 - 2  2.599e+09 2.417e-03    16  62.445300 - 219.862500 063
     79.0246        S VIII  E1          2s.2p6-2s2.2p4.(1D).3p  2S-2Po  2 - 4  2.077e+09 3.889e-03    16  62.445300 - 219.338300 063
     80.4566        S VIII] E1          2s.2p6-2s2.2p4.(1D).3p  2S-2Do  2 - 4  2.048e+07 3.975e-05    16  62.445300 - 216.545900 063
     83.614         S VIII] E1          2s.2p6-2s2.2p4.(3P).3p  2S-2So  2 - 2  4.276e+07 4.482e-05    16  62.445300 - 210.728000 063
     83.7036        S VIII] E1          2s.2p6-2s2.2p4.(3P).3p  2S-4So  2 - 4  1.225e+05 2.573e-07    16  62.445300 - 210.568200 063
     83.862         S VIII  E1          2s.2p6-2s2.2p4.(3P).3p  2S-2Po  2 - 4  1.336e+08 2.817e-04    16  62.445300 - 210.289000 063
     84.162         S VIII] E1          2s.2p6-2s2.2p4.(3P).3p  2S-2Do  2 - 4  2.030e+08 4.311e-04    16  62.445300 - 209.761000 063
     84.381         S VIII  E1          2s.2p6-2s2.2p4.(3P).3p  2S-2Po  2 - 2  2.464e+08 2.630e-04    16  62.445300 - 209.380000 063
     84.6736        S VIII] E1          2s.2p6-2s2.2p4.(3P).3p  2S-4Do  2 - 2  7.202e+06 7.741e-06    16  62.445300 - 208.871200 063
     84.7795        S VIII] E1          2s.2p6-2s2.2p4.(3P).3p  2S-4Do  2 - 4  2.432e+06 5.241e-06    16  62.445300 - 208.688400 063
     85.8876        S VIII] E1          2s.2p6-2s2.2p4.(3P).3p  2S-4Po  2 - 2  3.604e+06 3.986e-06    16  62.445300 - 206.801500 063
     86.0965        S VIII] E1          2s.2p6-2s2.2p4.(3P).3p  2S-4Po  2 - 4  5.779e+06 1.284e-05    16  62.445300 - 206.451400 063
    160.979         S VIII  E1 2s2.2p4.(3P).3s-2s.2p5.(1Po).3s  2P-2Po  4 - 2  1.520e+08 2.952e-04     3 195.848100 - 272.867000 063
    161.148         S VIII  E1 2s2.2p4.(3P).3s-2s.2p5.(1Po).3s  2P-2Po  4 - 4  3.787e+08 1.475e-03     3 195.848100 - 272.786000 063
    162.81          S VIII  E1 2s2.2p4.(3P).3s-2s.2p5.(1Po).3s  2P-2Po  2 - 2  2.938e+08 1.168e-03     3 196.716000 - 272.867000 063
    162.99          S VIII  E1 2s2.2p4.(3P).3s-2s.2p5.(1Po).3s  2P-2Po  2 - 4  7.321e+07 5.831e-04     3 196.716000 - 272.786000 063
    173.23          S VIII  E1 2s2.2p4.(1D).3s-2s.2p5.(1Po).3s  2D-2Po  4 - 2  5.933e+10 1.335e-01     3 201.294200 - 272.867000 063
    173.38          S VIII  E1 2s2.2p4.(1D).3s-2s.2p5.(1Po).3s  2D-2Po  6 - 4  5.326e+10 1.600e-01     3 201.275600 - 272.786000 063
    173.42          S VIII  E1 2s2.2p4.(1D).3s-2s.2p5.(1Po).3s  2D-2Po  4 - 4  5.913e+09 2.666e-02     3 201.294200 - 272.786000 063
    192.608?        S VIII  E1 2s2.2p4.(3P).3p-2s2.2p4.(3P).4d 2Do-2D   6 - 6  2.381e+09 1.324e-02     3 209.373500 - 273.74500? 063,ASD
    193.77?         S VIII  E1 2s2.2p4.(3P).3p-2s2.2p4.(3P).4d 2Do-2D   4 - 6  1.670e+08 1.410e-03     3 209.761000 - 273.74500? 063,ASD
    195.06          S VIII  E1 2s2.2p4.(1S).3s-2s.2p5.(1Po).3s  2S-2Po  2 - 2  3.201e+09 1.826e-02     3 209.304000 - 272.867000 063
    195.30          S VIII  E1 2s2.2p4.(1S).3s-2s.2p5.(1Po).3s  2S-2Po  2 - 4  3.189e+09 3.647e-02     3 209.304000 - 272.786000 063
    195.39?         S VIII  E1 2s2.2p4.(3P).3p-2s2.2p4.(3P).4d 2Po-2D   4 - 6  9.479e+09 8.138e-02     3 210.289000 - 273.74500? 063,ASD
    198.5486        S VIII  E1         2s2.2p5-2s.2p6          2Po-2S   4 - 2  2.482e+10 7.334e-02    16   0.000000 -  62.445300 063
    202.606         S VIII  E1         2s2.2p5-2s.2p6          2Po-2S   2 - 2  1.160e+10 7.139e-02    16   1.250600 -  62.445300 063
    210.242?        S VIII  E1 2s2.2p4.(1D).3p-2s2.2p4.(3P).4d 2Fo-2D   6 - 6  4.370e+06 2.896e-05     3 214.772500 - 273.74500? 063,ASD
    210.928?        S VIII  E1 2s2.2p4.(1D).3p-2s2.2p4.(3P).4d 2Fo-2D   8 - 6  8.655e+07 4.330e-04     3 214.964400 - 273.74500? 063,ASD
    214.83          S VIII  E1 2s2.2p4.(3P).3s-2s.2p5.(3Po).3s  2P-2Po  4 - 2  4.850e+09 1.678e-02     3 195.848100 - 253.561000 063
    216.76?         S VIII  E1 2s2.2p4.(1D).3p-2s2.2p4.(3P).4d 2Do-2D   4 - 6  4.739e+07 5.007e-04     3 216.545900 - 273.74500? 063,ASD
    217.22?         S VIII  E1 2s2.2p4.(1D).3p-2s2.2p4.(3P).4d 2Do-2D   6 - 6  6.593e+08 4.663e-03     3 216.666200 - 273.74500? 063,ASD
    217.88          S VIII  E1 2s2.2p4.(3P).3s-2s.2p5.(3Po).3s  2P-2Po  4 - 4  1.162e+10 8.272e-02     3 195.848100 - 252.754000 063
    218.11          S VIII  E1 2s2.2p4.(3P).3s-2s.2p5.(3Po).3s  2P-2Po  2 - 2  9.269e+09 6.611e-02     3 196.716000 - 253.561000 063
    221.25          S VIII  E1 2s2.2p4.(3P).3s-2s.2p5.(3Po).3s  2P-2Po  2 - 4  2.220e+09 3.258e-02     3 196.716000 - 252.754000 063
    221.84          S VIII  E1 2s2.2p4.(3P).3s-2s.2p5.(3Po).3s  4P-4Po  6 - 4  1.050e+10 5.165e-02     3 193.327300 - 249.217000 063
