 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
     73 26 21  211   5 3p5 3d4(3D4):   -2.75947E+00  4.41104E+00  6.0
     74 26 21  250   3 3d2(1GE) 4d     -2.74966E+00  4.42085E+00 22.0
     75 26 21  421   5 3p5 3d4(3P2)    -2.73953E+00  4.43098E+00 20.0
     76 26 21  221   5 3p5 3d4(3D4)    -2.70908E+00  4.46143E+00 10.0
     77 26 21  231   5 3p5 3d4(1D4)    -2.70850E+00  4.46201E+00 14.0
     78 26 21  230   6 3d2(1GE) 4d     -2.68362E+00  4.48689E+00 14.0
     79 26 21  220   7 3d2(1GE) 4d     -2.65577E+00  4.51474E+00 10.0
     80 26 21  241   4 3p5 3d4(1F4)    -2.65375E+00  4.51676E+00 18.0
     81 26 21  431   4 3p5 3d4(3D4)    -2.64605E+00  4.52446E+00 28.0
     82 26 21  251   3 3p5 3d4(1G4)    -2.64521E+00  4.52530E+00 22.0
     83 26 21  231   6 3p5 3d4(3D4)    -2.62415E+00  4.54636E+00 14.0
     84 26 21  241   5 3p5 3d4(3F4):   -2.58229E+00  4.58822E+00 18.0
     85 26 21  441   4 3p5 3d4(3F2)    -2.56457E+00  4.60594E+00 36.0
     86 26 21  430   5 3d2(3FE) 5s     -2.53101E+00  4.63950E+00 28.0
     87 26 21  230   7 3d2(3FE) 5s     -2.51128E+00  4.65923E+00 14.0
     88 26 21  221   6 3p5 3d4(1D4)    -2.49471E+00  4.67580E+00 10.0
     89 26 21  201   2 3p5 3d4(3P2)    -2.47930E+00  4.69121E+00  2.0
     90 26 21  220   8 3d2(1SE) 4d     -2.43261E+00  4.73790E+00 10.0
     91 26 21  421   6 3p5 3d4(3D4)    -2.42117E+00  4.74934E+00 20.0
     92 26 21  441   5 3p5 3d4(3H4)    -2.40273E+00  4.76778E+00 36.0
     93 26 21  220   9 3d2(1DE) 5s     -2.37714E+00  4.79337E+00 10.0
     94 26 21  410   5 3d2(3PE) 5s     -2.35427E+00  4.81624E+00 12.0
     95 26 21  431   5 3d2(3FE) 4f     -2.34868E+00  4.82183E+00 28.0
     96 26 21  411   4 3p5 3d4(3P2)    -2.34516E+00  4.82535E+00 12.0
     97 26 21  241   6 3d2(3FE) 4f     -2.34445E+00  4.82606E+00 18.0
     98 26 21  210   6 3d2(3PE) 5s     -2.33713E+00  4.83338E+00  6.0
     99 26 21  451   3 3d2(3FE) 4f     -2.33112E+00  4.83939E+00 44.0
    100 26 21  251   4 3p5 3d4(1G2)    -2.32993E+00  4.84058E+00 22.0
    101 26 21  201   3 3d2(3FE) 4f     -2.32980E+00  4.84071E+00  2.0
    102 26 21  231   7 3d2(3FE) 4f     -2.32146E+00  4.84905E+00 14.0
    103 26 21  401   3 3d2(3FE) 4f     -2.31984E+00  4.85067E+00  4.0
    104 26 21  421   7 3d2(3FE) 4f     -2.31485E+00  4.85566E+00 20.0
    105 26 21  211   6 3d2(3FE) 4f     -2.30800E+00  4.86251E+00  6.0
    106 26 21  411   5 3d2(3FE) 4f     -2.29830E+00  4.87221E+00 12.0
    107 26 21  251   5 3d2(3FE) 4f     -2.29043E+00  4.88008E+00 22.0
    108 26 21  221   7 3d2(3FE) 4f     -2.28853E+00  4.88198E+00 10.0
    109 26 21  431   6 3p5 3d4(3F2)    -2.27761E+00  4.89290E+00 28.0
    110 26 21  240   6 3d2(1GE) 5s     -2.27469E+00  4.89582E+00 18.0
    111 26 21  231   8 3p5 3d4(1F4)    -2.27136E+00  4.89915E+00 14.0
    112 26 21  221   8 3d2(1DE) 4f     -2.25440E+00  4.91611E+00 10.0
    113 26 21  431   7 3d2(3FE) 5p     -2.24872E+00  4.92179E+00 28.0
    114 26 21  441   6 3d2(3FE) 5p     -2.24808E+00  4.92243E+00 36.0
    115 26 21  441   7 3d2(3FE) 4f     -2.24610E+00  4.92441E+00 36.0
    116 26 21  241   7 3p5 3d4(3F2)    -2.24408E+00  4.92643E+00 18.0
    117 26 21  421   8 3d2(3FE) 5p     -2.24359E+00  4.92692E+00 20.0
    118 26 21  231   9 3d2(3FE) 5p     -2.23956E+00  4.93095E+00 14.0
    119 26 21  221   9 3p5 3d4(1D2)    -2.23396E+00  4.93655E+00 10.0
    120 26 21  241   8 3d2(3FE) 5p     -2.22580E+00  4.94471E+00 18.0
    121 26 21  221  10 3d2(3FE) 5p     -2.21368E+00  4.95683E+00 10.0
    122 26 21  231  10 3d2(1DE) 4f     -2.20075E+00  4.96976E+00 14.0
    123 26 21  421   9 3p5 3d4(3F2)    -2.19410E+00  4.97641E+00 20.0
    124 26 21  211   7 3d2(1DE) 4f     -2.18002E+00  4.99049E+00  6.0
    125 26 21  241   9 3d2(1DE) 4f     -2.16967E+00  5.00084E+00 18.0
    126 26 21  251   6 3d2(1DE) 4f     -2.16504E+00  5.00547E+00 22.0
    127 26 21  211   8 3p5 3d4(1D2):   -2.15761E+00  5.01290E+00  6.0
    128 26 21  221  11 3d2(3PE) 4f     -2.15637E+00  5.01414E+00 10.0
    129 26 21  241  10 3d2(3PE) 4f     -2.13406E+00  5.03645E+00 18.0
    130 26 21  431   8 3d2(3PE) 4f     -2.12065E+00  5.04986E+00 28.0
    131 26 21  231  11 3d2(3PE) 4f:    -2.11424E+00  5.05627E+00 14.0
    132 26 21  441   8 3d2(3PE) 4f     -2.11185E+00  5.05866E+00 36.0
    133 26 21  251   7 3d2(1GE) 4f:    -2.10317E+00  5.06734E+00 22.0
    134 26 21  401   4 3d2(3PE) 5p     -2.09966E+00  5.07085E+00  4.0
    135 26 21  211   9 3d2(1DE) 5p     -2.09846E+00  5.07205E+00  6.0
