 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
     74 26 24  141   1 3d5(2F3) 4p     -9.61025E-01  1.17607E+00  9.0
     75 26 24  161   1 3d5(2I5) 4p     -9.59945E-01  1.17716E+00 13.0
     76 26 24  541   2 3d5(4F3) 4p     -9.59485E-01  1.17761E+00 45.0
     77 26 24  131   1 3d5(2D5) 4p     -9.59484E-01  1.17762E+00  7.0
     78 26 24  341   2 3d5(2F3) 4p     -9.58839E-01  1.17826E+00 27.0
     79 26 24  310   4 3d5(2P3) 4s     -9.55914E-01  1.18119E+00  9.0
     80 26 24  331   4 3d5(2F3) 4p     -9.55061E-01  1.18204E+00 21.0
     81 26 24  531   3 3d5(4F3) 4p     -9.50546E-01  1.18655E+00 35.0
     82 26 24  321   4 3d5(2F3) 4p     -9.49437E-01  1.18766E+00 15.0
     83 26 24  111   1 3d5(2D5) 4p     -9.42733E-01  1.19437E+00  3.0
     84 26 24  521   3 3d5(4F3) 4p     -9.41569E-01  1.19553E+00 25.0
     85 26 24  351   3 3d5(2H3) 4p:    -9.36718E-01  1.20038E+00 33.0
     86 26 24  341   3 3d5(2H3) 4p     -9.36617E-01  1.20048E+00 27.0
     87 26 24  110   1 3d5(2P3) 4s     -9.23781E-01  1.21332E+00  3.0
     88 26 24  121   2 3d5(2F3) 4p     -9.23227E-01  1.21387E+00  5.0
     89 26 24  341   4 3d5(4F3) 4p     -9.22485E-01  1.21461E+00 27.0
     90 26 24  361   2 3d5(2H3) 4p     -9.19225E-01  1.21788E+00 39.0
     91 26 24  131   2 3d5(2F3) 4p     -9.18462E-01  1.21864E+00  7.0
     92 26 24  141   2 3d5(2G5) 4p:    -9.17520E-01  1.21958E+00  9.0
     93 26 24  331   5 3d5(2G5) 4p     -9.08066E-01  1.22903E+00 21.0
     94 26 24  321   5 3d5(4F3) 4p     -9.05417E-01  1.23168E+00 15.0
     95 26 24  161   2 3d5(2H3) 4p     -9.02821E-01  1.23428E+00 13.0
     96 26 24  331   6 3d5(4F3) 4p     -8.99681E-01  1.23742E+00 21.0
     97 26 24  720   1 3d5(6S5) 4d     -8.94956E-01  1.24214E+00 35.0
     98 26 24  351   4 3d5(2G5) 4p     -8.88084E-01  1.24902E+00 33.0
     99 26 24  341   5 3d5(2G5) 4p     -8.83994E-01  1.25311E+00 27.0
    100 26 24  320   5 3d5(2D1) 4s     -8.81626E-01  1.25547E+00 15.0
    101 26 24  151   2 3d5(2H3) 4p     -8.81080E-01  1.25602E+00 11.0
    102 26 24  141   3 3d5(2F5) 4p     -8.80118E-01  1.25698E+00  9.0
    103 26 24  131   3 3d5(2G5) 4p     -8.73845E-01  1.26326E+00  7.0
    104 26 24  151   3 3d5(2G5) 4p     -8.72511E-01  1.26459E+00 11.0
    105 26 24  331   7 3d5(2F5) 4p     -8.70710E-01  1.26639E+00 21.0
    106 26 24  121   3 3d5(2F5) 4p     -8.70055E-01  1.26705E+00  5.0
    107 26 24  700   2 3d5(6S5) 5s     -8.69013E-01  1.26809E+00  7.0
