2,1,7,24.754,.50087,9.32(−02),1.25(−03),6.90(−01),4.3173(−03),A’335-D’357,9
2,1,7,24.776,.50043,6.21(−02),5.43(+00),1.13(−02),3.0657(−01),G’155-P’133,10
2,1,7,24.778,.50038,7.79(−02),7.01(+00),1.09(−02),2.3023(−01),B’133-S’111,11
2,1,7,24.805,.49983,3.35(−02),2.81(−03),2.52(−01),2.1254(−03),F’313-P’333,14
2,1,7,24.806,.49982,4.92(−02),2.81(−03),3.69(−01),3.1176(−03),F’313-P’335,15
2,1,7,24.820,.49953,2.86(−02),1.67(−01),1.29(−01),1.5098(−01),G’357-P’335,16
2,1,7,24.821,.49953,2.18(−02),1.72(−01),9.71(−02),8.3282(−02),G’355-P’333,17
2,1,7,24.827,.49941,1.31(−01),6.02(−04),7.89(−01),3.3250(−03),A’357-D’357,18
2,1,7,24.827,.49939,9.62(−02),8.87(−05),5.84(−01),2.5884(−04),A’355-D’355,19
2,1,7,24.828,.49938,2.50(−02),8.87(−05),1.51(−01),6.7140(−05),A’355-D’357,20
2,1,7,24.828,.49937,3.83(−02),1.23(−01),1.33(−01),4.9242(−02),A’353-D’355,21
2,1,7,24.828,.49937,1.08(−01),1.23(−01),3.76(−01),1.3869(−01),A’353-D’353,22
2,1,7,24.848,.49897,3.46(−02),9.03(−01),3.20(−02),1.4449(−01),F’335-P’333,23
2,1,7,24.849,.49896,1.04(−01),9.03(−01),9.61(−02),4.3369(−01),F’335-P’335,24
2,1,7,24.850,.49894,5.09(−02),3.31(−05),2.76(−01),2.7371(−05),F’333-P’331,25
2,1,7,24.850,.49894,3.74(−02),3.31(−05),2.03(−01),2.0104(−05),F’333-P’333,26
2,1,7,24.850,.49893,6.84(−02),3.31(−05),3.71(−01),3.6797(−05),F’333-P’335,27
2,1,7,24.851,.49892,1.57(−01),1.02(−03),8.44(−01),8.6247(−04),F’331-P’333,28
2,1,7,24.869,.49856,8.40(−02),4.91(−03),6.57(−01),1.6121(−02),B’335-S’313,29
2,1,7,24.870,.49852,7.52(−02),1.51(−02),5.70(−01),2.5764(−02),B’333-S’313,30
2,1,7,24.871,.49851,7.08(−02),2.16(−02),5.23(−01),1.1290(−02),B’331-S’313,31
2,1,7,24.891,.49811,5.67(−02),6.34(−01),7.90(−02),2.5065(−01),C’335-S’313,32
2,1,7,24.893,.49807,6.56(−02),6.25(−01),9.19(−02),1.7241(−01),C’333-S’313,33
2,1,7,24.894,.49805,7.02(−02),6.18(−01),9.89(−02),6.1121(−02),C’331-S’313,34
2,1,7,24.905,.49784,8.95(−02),6.45(+00),1.36(−02),4.3869(−01),F’155-P’133,35
2,1,7,24.907,.49780,1.40(−01),1.12(−02),8.58(−01),4.8186(−02),A’155-D’155,36
