 3s2.3p5.(2Po<3/2>).5d    3/2[7/2]o     9   15.13054281   066
 3s2.3p5.(2Po<3/2>).5d    3/2[3/2]o     5   15.13684691   066
 3s2.3p5.(2Po<3/2>).5d    3/2[7/2]o     7   15.14592675   066
 3s2.3p5.(2Po<3/2>).5d    3/2[5/2]o     5   15.1610471    066
 3s2.3p5.(2Po<3/2>).5d    3/2[5/2]o     7   15.1669448    066
 3s2.3p5.(2Po<3/2>).7s    3/2[3/2]o     5   15.18063203   066
 3s2.3p5.(2Po<3/2>).7s    3/2[3/2]o     3   15.18550644   066
 3s2.3p5.(2Po<3/2>).5d    3/2[3/2]o     3   15.1898223    066
 3s2.3p5.(2Po<1/2>).6p    1/2[1/2]      3   15.2006130    066
 3s2.3p5.(2Po<1/2>).6p    1/2[3/2]      3   15.2016560    066
 3s2.3p5.(2Po<1/2>).6p    1/2[3/2]      5   15.2048073    066
 3s2.3p5.(2Po<3/2>).5f    3/2[3/2]      3   15.2111319    066
 3s2.3p5.(2Po<3/2>).5f    3/2[3/2]      5   15.2111746    066
 3s2.3p5.(2Po<3/2>).5f    3/2[9/2]     11   15.2123185    066
 3s2.3p5.(2Po<3/2>).5f    3/2[9/2]      9   15.2123261    066
 3s2.3p5.(2Po<3/2>).5f    3/2[5/2]      7   15.2138393    066
 3s2.3p5.(2Po<3/2>).5f    3/2[5/2]      5   15.2138671    066
 3s2.3p5.(2Po<3/2>).5g    3/2[5/2]o     5   15.214024     066
 3s2.3p5.(2Po<3/2>).5g    3/2[5/2]o     7   15.214024     066
 3s2.3p5.(2Po<3/2>).5g    3/2[11/2]o   11   15.214450     066
 3s2.3p5.(2Po<3/2>).5g    3/2[11/2]o   13   15.214450     066
 3s2.3p5.(2Po<3/2>).5f    3/2[7/2]      7   15.2150694    066
 3s2.3p5.(2Po<3/2>).5f    3/2[7/2]      9   15.2150731    066
 3s2.3p5.(2Po<3/2>).5g    3/2[7/2]o     7   15.215277     066
 3s2.3p5.(2Po<3/2>).5g    3/2[7/2]o     9   15.215277     066
 3s2.3p5.(2Po<3/2>).5g    3/2[9/2]o     9   15.215721     066
 3s2.3p5.(2Po<3/2>).5g    3/2[9/2]o    11   15.215721     066
 3s2.3p5.(2Po<1/2>).6p    1/2[1/2]      1   15.2240860    066
 3s2.3p5.(2Po<3/2>).7p    3/2[1/2]      3   15.2713702    066
 3s2.3p5.(2Po<3/2>).7p    3/2[5/2]      7   15.2755683    066
 3s2.3p5.(2Po<3/2>).7p    3/2[5/2]      5   15.277417     066
 3s2.3p5.(2Po<3/2>).7p    3/2[3/2]      3   15.281660     066
 3s2.3p5.(2Po<3/2>).7p    3/2[3/2]      5   15.2824798    066
 3s2.3p5.(2Po<1/2>).5d    1/2[3/2]o     5   15.29629168   066
 3s2.3p5.(2Po<3/2>).7p    3/2[1/2]      1   15.2977942    066
 3s2.3p5.(2Po<3/2>).6d    3/2[1/2]o     3   15.30807613   066
 3s2.3p5.(2Po<1/2>).5d    1/2[5/2]o     5   15.31272756   066
 3s2.3p5.(2Po<3/2>).6d    3/2[1/2]o     1   15.3131537    066
 3s2.3p5.(2Po<1/2>).5d    1/2[5/2]o     7   15.31916644   066
 3s2.3p5.(2Po<3/2>).6d    3/2[7/2]o     9   15.3310385    066
 3s2.3p5.(2Po<3/2>).6d    3/2[7/2]o     7   15.34600142   066
 3s2.3p5.(2Po<3/2>).6d    3/2[3/2]o     5   15.3502977    066
 3s2.3p5.(2Po<1/2>).5d    1/2[3/2]o     3   15.351171     066
 3s2.3p5.(2Po<3/2>).6d    3/2[5/2]o     5   15.3525588    066
 3s2.3p5.(2Po<3/2>).6d    3/2[5/2]o     7   15.3532616    066
 3s2.3p5.(2Po<1/2>).7s    1/2[1/2]o     1   15.3582930    066
 3s2.3p5.(2Po<1/2>).7s    1/2[1/2]o     3   15.3594341    066
 3s2.3p5.(2Po<3/2>).8s    3/2[3/2]o     5   15.3620398    066
 3s2.3p5.(2Po<3/2>).8s    3/2[3/2]o     3   15.3660879    066
 3s2.3p5.(2Po<3/2>).6d    3/2[3/2]o     3   15.373668     066
 3s2.3p5.(2Po<3/2>).6f    3/2[3/2]      3   15.3791348    066
 3s2.3p5.(2Po<3/2>).6f    3/2[3/2]      5   15.379155     066
 3s2.3p5.(2Po<3/2>).6f    3/2[9/2]     11   15.3798169    066
 3s2.3p5.(2Po<3/2>).6f    3/2[9/2]      9   15.3798204    066
 3s2.3p5.(2Po<3/2>).6f    3/2[5/2]      7   15.3804087    066
 3s2.3p5.(2Po<3/2>).6f    3/2[5/2]      5   15.3804403    066
 3s2.3p5.(2Po<3/2>).6f    3/2[7/2]      7   15.3812589    066
 3s2.3p5.(2Po<3/2>).6f    3/2[7/2]      9   15.3812600    066
 3s2.3p5.(2Po<1/2>).5f    1/2[7/2]      7   15.3908598    066
 3s2.3p5.(2Po<1/2>).5f    1/2[7/2]      9   15.3908634    066
 3s2.3p5.(2Po<1/2>).5f    1/2[5/2]      7   15.3910514    066
 3s2.3p5.(2Po<1/2>).5f    1/2[5/2]      5   15.3910789    066
 3s2.3p5.(2Po<1/2>).5g    1/2[9/2]o     9   15.392421     066
 3s2.3p5.(2Po<1/2>).5g    1/2[9/2]o    11   15.392421     066
 3s2.3p5.(2Po<1/2>).5g    1/2[7/2]o     7   15.392448     066
 3s2.3p5.(2Po<1/2>).5g    1/2[7/2]o     9   15.392448     066
 3s2.3p5.(2Po<3/2>).8p    3/2[1/2]      3   15.412682     066
 3s2.3p5.(2Po<3/2>).8p    3/2[5/2]      7   15.417312     066
 3s2.3p5.(2Po<3/2>).8p    3/2[5/2]      5   15.418288     066
 3s2.3p5.(2Po<3/2>).8p    3/2[3/2]      3   15.420696     066
 3s2.3p5.(2Po<3/2>).8p    3/2[3/2]      5   15.421297     066
 3s2.3p5.(2Po<3/2>).8p    3/2[1/2]      1   15.428510     066
 3s2.3p5.(2Po<3/2>).7d    3/2[1/2]o     1   15.4393409    066
 3s2.3p5.(2Po<3/2>).7d    3/2[1/2]o     3   15.4428346    066
 3s2.3p5.(2Po<3/2>).7d    3/2[3/2]o     5   15.4489118    066
 3s2.3p5.(2Po<3/2>).7d    3/2[7/2]o     9   15.4496515    066
 3s2.3p5.(2Po<1/2>).7p    1/2[3/2]      3   15.453817     066
 3s2.3p5.(2Po<3/2>).7d    3/2[7/2]o     7   15.4545649    066
 3s2.3p5.(2Po<1/2>).7p    1/2[1/2]      3   15.454747     066
 3s2.3p5.(2Po<1/2>).7p    1/2[3/2]      5   15.455675     066
 3s2.3p5.(2Po<3/2>).7d    3/2[5/2]o     5   15.4598300    066
 3s2.3p5.(2Po<3/2>).7d    3/2[5/2]o     7   15.4626978    066
 3s2.3p5.(2Po<1/2>).7p    1/2[1/2]      1   15.4670030    066
 3s2.3p5.(2Po<3/2>).9s    3/2[3/2]o     5   15.469704     066
