 1s.9k          1Ko     15   [152.38291]   079
 1s.9p          1Po      3   [152.387]     084
 1s.10s         3S       3   [152.63806]   084
 1s.10s         1S       1   [152.65765]   084
 1s.10p         3Po      1   [152.65958]   084
 1s.10p         3Po      3   [152.65958]   084
 1s.10p         3Po      5   [152.65958]   084
 1s.10d         3D       3   [152.66951]   084
 1s.10d         3D       5   [152.66951]   084
 1s.10d         3D       7   [152.66951]   084
 1s.10d         1D       5   [152.6700]    084
 1s.10f         3Fo      5   [152.67005]   079
 1s.10f         3Fo      7   [152.67005]   079
 1s.10f         3Fo      9   [152.67005]   079
 1s.10f         1Fo      7   [152.67005]   079
 1s.10g         3G       7   [152.67010]   079
 1s.10g         3G       9   [152.67010]   079
 1s.10g         3G      11   [152.67010]   079
 1s.10g         1G       9   [152.67010]   079
 1s.10h         3Ho      9   [152.67011]   079
 1s.10h         3Ho     11   [152.67011]   079
 1s.10h         3Ho     13   [152.67011]   079
 1s.10h         1Ho     11   [152.67011]   079
 1s.10i         3I      11   [152.67012]   079
 1s.10i         3I      13   [152.67012]   079
 1s.10i         3I      15   [152.67012]   079
 1s.10i         1I      13   [152.67012]   079
 1s.10k         3Ko     13   [152.67012]   079
 1s.10k         3Ko     15   [152.67012]   079
 1s.10k         3Ko     17   [152.67012]   079
 1s.10k         1Ko     15   [152.67012]   079
 1s.10p         1Po      3   [152.673]     084
 1s.(2S<1/2>)   Limit         153.8946     078
