 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
     74 20 18  110   4 3s2 3p5 7p      -2.63978E-01  3.41971E+00  3.0
     75 20 18  320   7 3s2 3p5 6f      -2.56053E-01  3.42764E+00 15.0
     76 20 18  100   5 3s2 3p5 7p      -2.55622E-01  3.42807E+00  1.0
     77 20 18  340   3 3s2 3p5 6f      -2.52718E-01  3.43097E+00 27.0
     78 20 18  140   3 3s2 3p5 6f      -2.52134E-01  3.43156E+00  9.0
     79 20 18  120   7 3s2 3p5 6f      -2.51648E-01  3.43204E+00  5.0
     80 20 18  331   6 3s2 3p5 6g      -2.50454E-01  3.43324E+00 21.0
     81 20 18  131   6 3s2 3p5 6g      -2.50411E-01  3.43328E+00  7.0
     82 20 18  351   2 3s2 3p5 6g      -2.50267E-01  3.43342E+00 33.0
     83 20 18  151   2 3s2 3p5 6g      -2.50253E-01  3.43344E+00 11.0
     84 20 18  330   3 3s2 3p5 6f      -2.50076E-01  3.43361E+00 21.0
     85 20 18  130   3 3s2 3p5 6f      -2.50076E-01  3.43361E+00  7.0
     86 20 18  340   4 3s2 3p5 6h      -2.50015E-01  3.43368E+00 27.0
     87 20 18  140   4 3s2 3p5 6h      -2.50012E-01  3.43368E+00  9.0
     88 20 18  350   1 3s2 3p5 6h      -2.49957E-01  3.43373E+00 33.0
     89 20 18  150   1 3s2 3p5 6h      -2.49957E-01  3.43373E+00 11.0
     90 20 18  141   2 3s2 3p5 6g      -2.49480E-01  3.43421E+00  9.0
     91 20 18  341   2 3s2 3p5 6g      -2.49480E-01  3.43421E+00 27.0
     92 20 18  311   9 3s2 3p5 7d      -2.18350E-01  3.46534E+00  9.0
     93 20 18  331   7 3s2 3p5 7d      -2.16105E-01  3.46759E+00 21.0
     94 20 18  131   7 3s2 3p5 7d      -2.13933E-01  3.46976E+00  7.0
     95 20 18  121   5 3s2 3p5 7d      -2.13186E-01  3.47050E+00  5.0
     96 20 18  321   5 3s2 3p5 7d      -2.13186E-01  3.47050E+00 15.0
     97 20 18  311  10 3s2 3p5 8s      -2.12073E-01  3.47162E+00  9.0
     98 20 18  111   9 3s2 3p5 8s      -2.10809E-01  3.47288E+00  3.0
     99 20 18  111  10 3s2 3p5 7d      -2.00579E-01  3.48311E+00  3.0
    100 20 18  300   5 3s2 3p5 8p      -1.97695E-01  3.48600E+00  3.0
    101 20 18  320   8 3s2 3p5 8p      -1.94038E-01  3.48965E+00 15.0
    102 20 18  120   8 3s2 3p5 8p      -1.92849E-01  3.49084E+00  5.0
    103 20 18  310   5 3s2 3p5 8p      -1.92240E-01  3.49145E+00  9.0
    104 20 18  110   5 3s2 3p5 8p      -1.92240E-01  3.49145E+00  3.0
    105 20 18  320   9 3s2 3p5 7f      -1.88338E-01  3.49535E+00 15.0
    106 20 18  100   6 3s2 3p5 8p      -1.87580E-01  3.49611E+00  1.0
    107 20 18  340   5 3s2 3p5 7f      -1.85510E-01  3.49818E+00 27.0
    108 20 18  140   5 3s2 3p5 7f      -1.85110E-01  3.49858E+00  9.0
    109 20 18  120   9 3s2 3p5 7f      -1.84746E-01  3.49894E+00  5.0
    110 20 18  331   8 3s2 3p5 7g      -1.84002E-01  3.49969E+00 21.0
    111 20 18  131   8 3s2 3p5 7g      -1.83967E-01  3.49972E+00  7.0
    112 20 18  351   3 3s2 3p5 7g      -1.83873E-01  3.49982E+00 33.0
    113 20 18  151   3 3s2 3p5 7g      -1.83862E-01  3.49983E+00 11.0
    114 20 18  130   4 3s2 3p5 7f      -1.83836E-01  3.49985E+00  7.0
