 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
     83 10  4  140   4 2s 7g           -1.00081E+00  1.42063E+01  9.0
     84 10  4  131   6 2s 7f           -9.99755E-01  1.42073E+01  7.0
     85 10  4  311  11 2p 5s           -9.37110E-01  1.42700E+01  9.0
     86 10  4  111  11 2p 5s           -9.17814E-01  1.42893E+01  3.0
     87 10  4  110   3 2p 5p           -8.80852E-01  1.43262E+01  3.0
     88 10  4  320   9 2p 5p           -8.72280E-01  1.43348E+01 15.0
     89 10  4  300   8 2p 5p           -8.61990E-01  1.43451E+01  3.0
     90 10  4  310   4 2p 5p           -8.49050E-01  1.43581E+01  9.0
     91 10  4  120  10 2p 5p           -8.30633E-01  1.43765E+01  5.0
     92 10  4  331   7 2p 5d           -8.30349E-01  1.43768E+01 21.0
     93 10  4  121   3 2p 5d           -8.28986E-01  1.43781E+01  5.0
     94 10  4  100  10 2s 8s:          -8.23640E-01  1.43835E+01  1.0
     95 10  4  311  12 2p 5d           -8.08889E-01  1.43982E+01  9.0
     96 10  4  321   3 2p 5d           -8.07552E-01  1.43995E+01 15.0
     97 10  4  130   2 2p 5f           -8.02347E-01  1.44048E+01  7.0
     98 10  4  330   2 2p 5f           -8.01001E-01  1.44061E+01 21.0
     99 10  4  340   5 2p 5f           -8.00371E-01  1.44067E+01 27.0
    100 10  4  300   9 2s 8s           -7.97343E-01  1.44098E+01  3.0
    101 10  4  140   5 2p 5f           -7.96264E-01  1.44108E+01  9.0
    102 10  4  111  12 2s 8p           -7.87389E-01  1.44197E+01  3.0
    103 10  4  131   7 2p 5d           -7.86024E-01  1.44211E+01  7.0
    104 10  4  331   8 2p 5g           -7.84760E-01  1.44223E+01 21.0
    105 10  4  131   8 2p 5g           -7.84650E-01  1.44225E+01  7.0
    106 10  4  320  10 2p 5f           -7.84649E-01  1.44225E+01 15.0
    107 10  4  120  11 2p 5f           -7.77440E-01  1.44297E+01  5.0
    108 10  4  311  13 2s 8p           -7.76664E-01  1.44304E+01  9.0
    109 10  4  320  11 2s 8d           -7.71522E-01  1.44356E+01 15.0
    110 10  4  120  12 2s 8d           -7.67621E-01  1.44395E+01  5.0
    111 10  4  100  11 2p 5p:          -7.67335E-01  1.44398E+01  1.0
    112 10  4  331   9 2s 8f           -7.66542E-01  1.44406E+01 21.0
    113 10  4  340   6 2s 8g           -7.60450E-01  1.44466E+01 27.0
    114 10  4  111  13 2p 5d           -7.59894E-01  1.44472E+01  3.0
    115 10  4  140   6 2s 8g           -7.59208E-01  1.44479E+01  9.0
    116 10  4  131   9 2s 8f           -7.56360E-01  1.44507E+01  7.0
    117 10  4  300  10 2s 9s           -6.30930E-01  1.45762E+01  3.0
    118 10  4  100  12 2s 9s           -6.24797E-01  1.45823E+01  1.0
    119 10  4  311  14 2s 9p           -6.17253E-01  1.45898E+01  9.0
    120 10  4  111  14 2s 9p           -6.15445E-01  1.45917E+01  3.0
    121 10  4  320  12 2s 9d           -6.10249E-01  1.45969E+01 15.0
    122 10  4  120  13 2s 9d           -6.06524E-01  1.46006E+01  5.0
    123 10  4  331  10 2s 9f           -6.05798E-01  1.46013E+01 21.0
    124 10  4  340   7 2s 9g           -6.04347E-01  1.46028E+01 27.0
    125 10  4  140   7 2s 9g           -6.04227E-01  1.46029E+01  9.0
    126 10  4  131  10 2s 9f           -6.03868E-01  1.46032E+01  7.0
    127 10  4  300  11 2s10s           -5.09374E-01  1.46977E+01  3.0
    128 10  4  100  13 2s10s           -5.05848E-01  1.47013E+01  1.0
    129 10  4  311  15 2s10p           -4.99245E-01  1.47079E+01  9.0
    130 10  4  111  15 2s10p           -4.98430E-01  1.47087E+01  3.0
    131 10  4  320  13 2s10d           -4.93910E-01  1.47132E+01 15.0
    132 10  4  120  14 2s10d           -4.91194E-01  1.47159E+01  5.0
    133 10  4  331  11 2s10f           -4.90669E-01  1.47164E+01 21.0
    134 10  4  340   8 2s10g           -4.89829E-01  1.47173E+01 27.0
    135 10  4  140   8 2s10g           -4.89772E-01  1.47173E+01  9.0
    136 10  4  131  11 2s10f           -4.89538E-01  1.47176E+01  7.0
    137 10  4  110   4 2p 6p           -2.42245E-01  1.49649E+01  3.0
    138 10  4  310   5 2p 6p           -2.25100E-01  1.49820E+01  9.0
    139 10  4  121   4 2p 6d           -2.12961E-01  1.49941E+01  5.0
    140 10  4  321   4 2p 6d           -2.01202E-01  1.50059E+01 15.0
    141 10  4  130   3 2p 6f           -1.97958E-01  1.50091E+01  7.0
    142 10  4  330   3 2p 6f           -1.97127E-01  1.50100E+01 21.0
    143 10  4  110   5 2p 7p            1.38414E-01  1.53455E+01  3.0
    144 10  4  310   6 2p 7p            1.48766E-01  1.53559E+01  9.0
    145 10  4  121   5 2p 7d            1.56579E-01  1.53637E+01  5.0
    146 10  4  321   5 2p 7d            1.63757E-01  1.53709E+01 15.0
    147 10  4  130   4 2p 7f            1.65832E-01  1.53729E+01  7.0
    148 10  4  330   4 2p 7f            1.66372E-01  1.53735E+01 21.0
    149 10  4  110   6 2p 8p            3.83537E-01  1.55906E+01  3.0
    150 10  4  310   7 2p 8p            3.90286E-01  1.55974E+01  9.0
    151 10  4  121   6 2p 8d            3.95583E-01  1.56027E+01  5.0
    152 10  4  321   6 2p 8d            4.00298E-01  1.56074E+01 15.0
    153 10  4  130   5 2p 8f            4.01693E-01  1.56088E+01  7.0
    154 10  4  330   5 2p 8f            4.02061E-01  1.56092E+01 21.0
