 2s2.2p5.(2Po<1/2>).5p    1/2[3/2]      5   20.876301     024
 2s2.2p5.(2Po<1/2>).5p    1/2[1/2]      1   20.902105     024
 2s2.2p5.(2Po<3/2>).6s    3/2[3/2]o     5   20.9439853    024
 2s2.2p5.(2Po<3/2>).6s    3/2[3/2]o     3   20.9492797    024
 2s2.2p5.(2Po<3/2>).5d    3/2[1/2]o     1   21.0132083    024
 2s2.2p5.(2Po<3/2>).5d    3/2[1/2]o     3   21.0138831    024
 2s2.2p5.(2Po<3/2>).5d    3/2[7/2]o     9   21.0155223    024
 2s2.2p5.(2Po<3/2>).5d    3/2[7/2]o     7   21.0156027    024
 2s2.2p5.(2Po<3/2>).5d    3/2[3/2]o     5   21.0163810    024
 2s2.2p5.(2Po<3/2>).5d    3/2[3/2]o     3   21.0174260    024
 2s2.2p5.(2Po<3/2>).5d    3/2[5/2]o     5   21.0185763    024
 2s2.2p5.(2Po<3/2>).5d    3/2[5/2]o     7   21.0186528    024
 2s2.2p5.(2Po<3/2>).5f    3/2[3/2]      3   21.0190968    023
 2s2.2p5.(2Po<3/2>).5f    3/2[3/2]      5   21.0190989    023
 2s2.2p5.(2Po<3/2>).5f    3/2[9/2]      9   21.0195821    023
 2s2.2p5.(2Po<3/2>).5f    3/2[9/2]     11   21.0195824    023
 2s2.2p5.(2Po<3/2>).5g    3/2[5/2]o     5   21.0198868    023
 2s2.2p5.(2Po<3/2>).5g    3/2[5/2]o     7   21.0198868    023
 2s2.2p5.(2Po<3/2>).5g    3/2[11/2]o   11   21.0200577    023
 2s2.2p5.(2Po<3/2>).5g    3/2[11/2]o   13   21.0200577    023
 2s2.2p5.(2Po<3/2>).5f    3/2[5/2]      7   21.0201506    023
 2s2.2p5.(2Po<3/2>).5f    3/2[5/2]      5   21.0201520    023
 2s2.2p5.(2Po<3/2>).5g    3/2[7/2]o     7   21.0203798    023
 2s2.2p5.(2Po<3/2>).5g    3/2[7/2]o     9   21.0203798    023
 2s2.2p5.(2Po<3/2>).5g    3/2[9/2]o     9   21.0205502    023
 2s2.2p5.(2Po<3/2>).5g    3/2[9/2]o    11   21.0205502    023
 2s2.2p5.(2Po<3/2>).5f    3/2[7/2]      9   21.0206482    023
 2s2.2p5.(2Po<3/2>).5f    3/2[7/2]      7   21.0206504    023
 2s2.2p5.(2Po<1/2>).6s    1/2[1/2]o     1   21.0408509    024
 2s2.2p5.(2Po<1/2>).6s    1/2[1/2]o     3   21.0435420    024
 2s2.2p5.(2Po<3/2>).6p    3/2[1/2]      3   21.046086     024
 2s2.2p5.(2Po<3/2>).6p    3/2[5/2]      7   21.052166     024
 2s2.2p5.(2Po<3/2>).6p    3/2[5/2]      5   21.054329     024
 2s2.2p5.(2Po<3/2>).6p    3/2[3/2]      3   21.057406     024
 2s2.2p5.(2Po<3/2>).6p    3/2[3/2]      5   21.057948     024
 2s2.2p5.(2Po<3/2>).6p    3/2[1/2]      1   21.074428     024
 2s2.2p5.(2Po<1/2>).5d    1/2[3/2]o     5   21.1131379    024
 2s2.2p5.(2Po<1/2>).5d    1/2[5/2]o     5   21.1131825    024
 2s2.2p5.(2Po<1/2>).5d    1/2[5/2]o     7   21.1132269    024
 2s2.2p5.(2Po<1/2>).5d    1/2[3/2]o     3   21.1140114    024
 2s2.2p5.(2Po<1/2>).5f    1/2[7/2]      7   21.1166989    023
 2s2.2p5.(2Po<1/2>).5f    1/2[7/2]      9   21.1166995    023
 2s2.2p5.(2Po<1/2>).5f    1/2[5/2]      7   21.1167075    023
 2s2.2p5.(2Po<1/2>).5f    1/2[5/2]      5   21.1167085    023
 2s2.2p5.(2Po<1/2>).5g    1/2[9/2]o     9   21.1169990    023
 2s2.2p5.(2Po<1/2>).5g    1/2[9/2]o    11   21.1169990    023
 2s2.2p5.(2Po<1/2>).5g    1/2[7/2]o     7   21.1170016    023
 2s2.2p5.(2Po<1/2>).5g    1/2[7/2]o     9   21.1170016    023
 2s2.2p5.(2Po<3/2>).7s    3/2[3/2]o     5   21.1433601    024
 2s2.2p5.(2Po<3/2>).7s    3/2[3/2]o     3   21.1463770    024
 2s2.2p5.(2Po<1/2>).6p    1/2[1/2]      3   21.149023     024
 2s2.2p5.(2Po<1/2>).6p    1/2[3/2]      3   21.149847     024
 2s2.2p5.(2Po<1/2>).6p    1/2[3/2]      5   21.151354     024
 2s2.2p5.(2Po<1/2>).6p    1/2[1/2]      1   21.162783     024
 2s2.2p5.(2Po<3/2>).6d    3/2[1/2]o     1   21.1824841    024
 2s2.2p5.(2Po<3/2>).6d    3/2[1/2]o     3   21.182862     024
