 ====================================================================
      i NZ NE iSLP iLV iCONF                 E(RYD)      TE(RYD)   gi
 ====================================================================
     76 14 14  100   5 3s2 3p 7p       -2.92824E-02  5.72011E-01  1.0
     77 14 14  111   8 3s2 3p 6d       -2.83955E-02  5.72898E-01  3.0
     78 14 14  130   3 3s2 3p 6f       -2.83272E-02  5.72966E-01  7.0
     79 14 14  330   3 3s2 3p 6f       -2.83114E-02  5.72982E-01 21.0
     80 14 14  131   5 3s2 3p 6d       -2.82043E-02  5.73089E-01  7.0
     81 14 14  321   5 3s2 3p 6d       -2.81786E-02  5.73114E-01 15.0
     82 14 14  141   2 3s2 3p 6g       -2.79525E-02  5.73341E-01  9.0
     83 14 14  341   2 3s2 3p 6g       -2.79524E-02  5.73341E-01 27.0
     84 14 14  340   3 3s2 3p 6f       -2.79472E-02  5.73346E-01 27.0
     85 14 14  140   3 3s2 3p 6f       -2.79059E-02  5.73387E-01  9.0
     86 14 14  150   1 3s2 3p 6h       -2.78267E-02  5.73466E-01 11.0
     87 14 14  350   1 3s2 3p 6h       -2.78267E-02  5.73466E-01 33.0
     88 14 14  351   2 3s2 3p 6g       -2.77841E-02  5.73509E-01 33.0
     89 14 14  151   2 3s2 3p 6g       -2.77833E-02  5.73510E-01 11.0
     90 14 14  160   1 3s2 3p 6h       -2.77730E-02  5.73520E-01 13.0
     91 14 14  360   1 3s2 3p 6h       -2.77730E-02  5.73520E-01 39.0
     92 14 14  340   4 3s2 3p 6h       -2.77608E-02  5.73532E-01 27.0
     93 14 14  140   4 3s2 3p 6h       -2.77607E-02  5.73532E-01  9.0
     94 14 14  320   7 3s2 3p 6f       -2.77492E-02  5.73544E-01 15.0
     95 14 14  120   8 3s2 3p 6f       -2.77363E-02  5.73557E-01  5.0
     96 14 14  331   6 3s2 3p 6g       -2.77345E-02  5.73559E-01 21.0
     97 14 14  131   6 3s2 3p 6g       -2.77337E-02  5.73559E-01  7.0
     98 14 14  311   9 3s2 3p 8s       -2.67118E-02  5.74581E-01  9.0
     99 14 14  311  10 3s2 3p 7d:      -2.63669E-02  5.74926E-01  9.0
    100 14 14  111   9 3s2 3p 8s       -2.61773E-02  5.75116E-01  3.0
    101 14 14  121   5 3s2 3p 7d       -2.44347E-02  5.76858E-01  5.0
    102 14 14  110   5 3s2 3p 8p       -2.35670E-02  5.77726E-01  3.0
    103 14 14  320   8 3s2 3p 8p       -2.32368E-02  5.78056E-01 15.0
    104 14 14  331   7 3s2 3p 7d       -2.30015E-02  5.78292E-01 21.0
    105 14 14  300   5 3s2 3p 8p       -2.27532E-02  5.78540E-01  3.0
    106 14 14  310   6 3s2 3p 8p       -2.27468E-02  5.78546E-01  9.0
    107 14 14  120   9 3s2 3p 8p       -2.21937E-02  5.79099E-01  5.0
    108 14 14  100   6 3s2 3p 8p       -2.13523E-02  5.79941E-01  1.0
    109 14 14  111  10 3s2 3p 7d       -2.08125E-02  5.80481E-01  3.0
    110 14 14  130   4 3s2 3p 7f       -2.07597E-02  5.80533E-01  7.0
    111 14 14  330   4 3s2 3p 7f       -2.07490E-02  5.80544E-01 21.0
    112 14 14  321   6 3s2 3p 7d       -2.07052E-02  5.80588E-01 15.0
    113 14 14  131   7 3s2 3p 7d       -2.06771E-02  5.80616E-01  7.0
    114 14 14  340   5 3s2 3p 7f       -2.05219E-02  5.80771E-01 27.0
    115 14 14  141   3 3s2 3p 7g       -2.05193E-02  5.80774E-01  9.0
    116 14 14  341   3 3s2 3p 7g       -2.05192E-02  5.80774E-01 27.0
    117 14 14  140   5 3s2 3p 7f       -2.04937E-02  5.80799E-01  9.0
    118 14 14  350   2 3s2 3p 7h       -2.04507E-02  5.80842E-01 33.0
    119 14 14  150   2 3s2 3p 7h       -2.04507E-02  5.80842E-01 11.0
    120 14 14  351   3 3s2 3p 7g       -2.04215E-02  5.80872E-01 33.0
    121 14 14  151   3 3s2 3p 7g       -2.04211E-02  5.80872E-01 11.0
    122 14 14  161   1 3s2 3p 7i       -2.04128E-02  5.80880E-01 13.0
    123 14 14  361   1 3s2 3p 7i       -2.04128E-02  5.80880E-01 39.0
    124 14 14  360   2 3s2 3p 7h       -2.04047E-02  5.80888E-01 39.0
    125 14 14  160   2 3s2 3p 7h       -2.04047E-02  5.80888E-01 13.0
    126 14 14  351   4 3s2 3p 7i       -2.03995E-02  5.80894E-01 33.0
    127 14 14  151   4 3s2 3p 7i       -2.03993E-02  5.80894E-01 11.0
    128 14 14  320   9 3s2 3p 7f       -2.03948E-02  5.80898E-01 15.0
    129 14 14  340   6 3s2 3p 7h       -2.03943E-02  5.80899E-01 27.0
    130 14 14  140   6 3s2 3p 7h       -2.03942E-02  5.80899E-01  9.0
    131 14 14  120  10 3s2 3p 7f       -2.03864E-02  5.80907E-01  5.0
    132 14 14  331   8 3s2 3p 7g       -2.03833E-02  5.80910E-01 21.0
    133 14 14  131   8 3s2 3p 7g       -2.03828E-02  5.80910E-01  7.0
    134 14 14  311  11 3s2 3p 9s       -1.97486E-02  5.81544E-01  9.0
    135 14 14  311  12 3s2 3p 8d:      -1.96415E-02  5.81652E-01  9.0
    136 14 14  111  11 3s2 3p 9s       -1.93831E-02  5.81910E-01  3.0
    137 14 14  121   6 3s2 3p 8d       -1.82854E-02  5.83008E-01  5.0
    138 14 14  110   6 3s2 3p 9p       -1.76993E-02  5.83594E-01  3.0
    139 14 14  320  10 3s2 3p 9p       -1.74870E-02  5.83806E-01 15.0
    140 14 14  331   9 3s2 3p 8d       -1.73407E-02  5.83952E-01 21.0
    141 14 14  300   6 3s2 3p 9p       -1.71743E-02  5.84119E-01  3.0
    142 14 14  310   7 3s2 3p 9p       -1.71714E-02  5.84122E-01  9.0
    143 14 14  120  11 3s2 3p 9p       -1.68099E-02  5.84483E-01  5.0
    144 14 14  100   7 3s2 3p 9p       -1.62555E-02  5.85038E-01  1.0
    145 14 14  111  12 3s2 3p 8d       -1.59029E-02  5.85390E-01  3.0
    146 14 14  130   5 3s2 3p 8f       -1.58627E-02  5.85430E-01  7.0
    147 14 14  330   5 3s2 3p 8f       -1.58552E-02  5.85438E-01 21.0
    148 14 14  321   7 3s2 3p 8d       -1.58430E-02  5.85450E-01 15.0
    149 14 14  131   9 3s2 3p 8d       -1.58057E-02  5.85487E-01  7.0
    150 14 14  340   7 3s2 3p 8f       -1.57042E-02  5.85589E-01 27.0
    151 14 14  341   4 3s2 3p 8g       -1.57006E-02  5.85592E-01 27.0
    152 14 14  141   4 3s2 3p 8g       -1.57006E-02  5.85592E-01  9.0
    153 14 14  140   7 3s2 3p 8f       -1.56844E-02  5.85609E-01  9.0
    154 14 14  350   3 3s2 3p 8h       -1.56568E-02  5.85636E-01 33.0
    155 14 14  150   3 3s2 3p 8h       -1.56568E-02  5.85636E-01 11.0
    156 14 14  351   5 3s2 3p 8g       -1.56351E-02  5.85658E-01 33.0
    157 14 14  151   5 3s2 3p 8g       -1.56348E-02  5.85658E-01 11.0
    158 14 14  161   2 3s2 3p 8i       -1.56309E-02  5.85662E-01 13.0
    159 14 14  361   2 3s2 3p 8i       -1.56309E-02  5.85662E-01 39.0
    160 14 14  360   3 3s2 3p 8k       -1.56267E-02  5.85666E-01 39.0
    161 14 14  160   3 3s2 3p 8k       -1.56267E-02  5.85666E-01 13.0
    162 14 14  360   4 3s2 3p 8h       -1.56210E-02  5.85672E-01 39.0
    163 14 14  160   4 3s2 3p 8h       -1.56210E-02  5.85672E-01 13.0
    164 14 14  320  11 3s2 3p 8f       -1.56182E-02  5.85675E-01 15.0
    165 14 14  351   6 3s2 3p 8i       -1.56179E-02  5.85675E-01 33.0
    166 14 14  151   6 3s2 3p 8i       -1.56178E-02  5.85675E-01 11.0
    167 14 14  340   8 3s2 3p 8h       -1.56151E-02  5.85678E-01 27.0
    168 14 14  140   8 3s2 3p 8h       -1.56150E-02  5.85678E-01  9.0
    169 14 14  120  12 3s2 3p 8f       -1.56125E-02  5.85681E-01  5.0
    170 14 14  331  10 3s2 3p 8g       -1.56090E-02  5.85684E-01 21.0
    171 14 14  131  10 3s2 3p 8g       -1.56087E-02  5.85684E-01  7.0
    172 14 14  311  13 3s2 3p10s       -1.52184E-02  5.86075E-01  9.0
    173 14 14  311  14 3s2 3p 9d:      -1.51352E-02  5.86158E-01  9.0
    174 14 14  111  13 3s2 3p10s       -1.49304E-02  5.86363E-01  3.0
    175 14 14  121   7 3s2 3p 9d       -1.41945E-02  5.87099E-01  5.0
    176 14 14  110   7 3s2 3p10p       -1.37813E-02  5.87512E-01  3.0
    177 14 14  320  12 3s2 3p10p       -1.36365E-02  5.87656E-01 15.0
    178 14 14  331  11 3s2 3p 9d       -1.35392E-02  5.87754E-01 21.0
    179 14 14  300   7 3s2 3p10p       -1.34225E-02  5.87871E-01  3.0
    180 14 14  310   8 3s2 3p10p       -1.34210E-02  5.87872E-01  9.0
    181 14 14  120  13 3s2 3p10p       -1.31718E-02  5.88121E-01  5.0
    182 14 14  100   8 3s2 3p10p       -1.27873E-02  5.88506E-01  1.0
    183 14 14  111  14 3s2 3p 9d       -1.25443E-02  5.88749E-01  3.0
    184 14 14  130   6 3s2 3p 9f       -1.25137E-02  5.88779E-01  7.0
    185 14 14  330   6 3s2 3p 9f       -1.25082E-02  5.88785E-01 21.0
    186 14 14  321   8 3s2 3p 9d       -1.25078E-02  5.88785E-01 15.0
    187 14 14  131  11 3s2 3p 9d       -1.24729E-02  5.88820E-01  7.0
    188 14 14  340   9 3s2 3p 9f       -1.24028E-02  5.88890E-01 27.0
    189 14 14  141   5 3s2 3p 9g       -1.23996E-02  5.88893E-01  9.0
    190 14 14  341   5 3s2 3p 9g       -1.23995E-02  5.88894E-01 27.0
    191 14 14  140   9 3s2 3p 9f       -1.23884E-02  5.88905E-01  9.0
    192 14 14  350   4 3s2 3p 9h       -1.23691E-02  5.88924E-01 33.0
    193 14 14  150   4 3s2 3p 9h       -1.23691E-02  5.88924E-01 11.0
    194 14 14  351   7 3s2 3p 9g       -1.23530E-02  5.88940E-01 33.0
    195 14 14  151   7 3s2 3p 9g       -1.23528E-02  5.88940E-01 11.0
    196 14 14  361   3 3s2 3p 9i       -1.23512E-02  5.88942E-01 39.0
    197 14 14  161   3 3s2 3p 9i       -1.23512E-02  5.88942E-01 13.0
    198 14 14  360   5 3s2 3p 9h:      -1.23478E-02  5.88945E-01 39.0
    199 14 14  160   5 3s2 3p 9h:      -1.23477E-02  5.88945E-01 13.0
    200 14 14  360   6 3s2 3p 9k       -1.23420E-02  5.88951E-01 39.0
    201 14 14  160   6 3s2 3p 9k       -1.23420E-02  5.88951E-01 13.0
    202 14 14  320  13 3s2 3p 9f       -1.23420E-02  5.88951E-01 15.0
    203 14 14  351   8 3s2 3p 9i       -1.23404E-02  5.88953E-01 33.0
    204 14 14  151   8 3s2 3p 9i       -1.23403E-02  5.88953E-01 11.0
    205 14 14  340  10 3s2 3p 9h       -1.23386E-02  5.88954E-01 27.0
    206 14 14  140  10 3s2 3p 9h       -1.23386E-02  5.88954E-01  9.0
    207 14 14  120  14 3s2 3p 9f       -1.23379E-02  5.88955E-01  5.0
    208 14 14  331  12 3s2 3p 9g       -1.23347E-02  5.88958E-01 21.0
    209 14 14  131  12 3s2 3p 9g       -1.23344E-02  5.88959E-01  7.0
    210 14 14  311  15 3s2 3p11s       -1.20865E-02  5.89207E-01  9.0
    211 14 14  311  16 3s2 3p10d:      -1.20037E-02  5.89289E-01  9.0
    212 14 14  111  15 3s2 3p11s       -1.18539E-02  5.89439E-01  3.0
    213 14 14  121   8 3s2 3p10d       -1.13365E-02  5.89957E-01  5.0
    214 14 14  110   8 3s2 3p11p       -1.10349E-02  5.90258E-01  3.0
    215 14 14  320  14 3s2 3p11p       -1.09316E-02  5.90361E-01 15.0
    216 14 14  331  13 3s2 3p10d       -1.08636E-02  5.90429E-01 21.0
    217 14 14  300   8 3s2 3p11p       -1.07786E-02  5.90514E-01  3.0
    218 14 14  310   9 3s2 3p11p       -1.07778E-02  5.90515E-01  9.0
    219 14 14  120  15 3s2 3p11p       -1.05987E-02  5.90694E-01  5.0
    220 14 14  100   9 3s2 3p11p       -1.03212E-02  5.90972E-01  1.0
    221 14 14  111  16 3s2 3p10d       -1.01466E-02  5.91146E-01  3.0
    222 14 14  130   7 3s2 3p10f       -1.01230E-02  5.91170E-01  7.0
    223 14 14  321   9 3s2 3p10d       -1.01228E-02  5.91170E-01 15.0
    224 14 14  330   7 3s2 3p10f       -1.01189E-02  5.91174E-01 21.0
    225 14 14  131  13 3s2 3p10d       -1.00930E-02  5.91200E-01  7.0
    226 14 14  340  11 3s2 3p10f       -1.00424E-02  5.91251E-01 27.0
    227 14 14  341   6 3s2 3p10g       -1.00397E-02  5.91253E-01 27.0
    228 14 14  141   6 3s2 3p10g       -1.00397E-02  5.91253E-01  9.0
    229 14 14  140  11 3s2 3p10f       -1.00316E-02  5.91261E-01  9.0
    230 14 14  350   5 3s2 3p10h       -1.00175E-02  5.91276E-01 33.0
    231 14 14  150   5 3s2 3p10h       -1.00175E-02  5.91276E-01 11.0
    232 14 14  351   9 3s2 3p10g       -1.00054E-02  5.91288E-01 33.0
    233 14 14  151   9 3s2 3p10g       -1.00052E-02  5.91288E-01 11.0
    234 14 14  361   4 3s2 3p10i       -1.00048E-02  5.91288E-01 39.0
