Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3d2.(3F).4p""","=""4F*""","=""3/2""",4,"=""""","=""42.09757""","=""""",
"=""3d2.(3F).4p""","=""4F*""","=""5/2""",6,"=""""","=""42.19728""","=""""",
"=""3d2.(3F).4p""","=""4G*""","=""9/2""",10,"=""""","=""42.27055""","=""""",
"=""3d2.(3F).4p""","=""4F*""","=""7/2""",8,"=""""","=""42.32390""","=""""",
"=""3d2.(3F).4p""","=""4F*""","=""9/2""",10,"=""""","=""42.45645""","=""""",
"=""3d2.(3F).4p""","=""2F*""","=""5/2""",6,"=""""","=""42.47345""","=""""",
"=""3d2.(3F).4p""","=""4G*""","=""11/2""",12,"=""""","=""42.49318""","=""""",
"=""3d2.(3F).4p""","=""4D*""","=""3/2""",4,"=""""","=""42.55273""","=""""",
"=""3d2.(3F).4p""","=""2F*""","=""7/2""",8,"=""""","=""42.60199""","=""""",
"=""3d2.(3F).4p""","=""4D*""","=""1/2""",2,"=""""","=""42.60336""","=""""",
"=""3d2.(3F).4p""","=""4D*""","=""5/2""",6,"=""""","=""42.68445""","=""""",
"=""3d2.(3F).4p""","=""2D*""","=""3/2""",4,"=""""","=""42.73148""","=""""",
"=""3d2.(3F).4p""","=""4D*""","=""7/2""",8,"=""""","=""42.82694""","=""""",
"=""3d2.(3F).4p""","=""2D*""","=""5/2""",6,"=""""","=""42.88701""","=""""",
"=""3d2.(3F).4p""","=""2G*""","=""7/2""",8,"=""""","=""43.26579""","=""""",
"=""3d2.(3F).4p""","=""2G*""","=""9/2""",10,"=""""","=""43.39668""","=""""",
"=""3d2.(3P).4p""","=""2S*""","=""1/2""",2,"=""""","=""43.61836""","=""""",
"=""3d2.(3P).4p""","=""4S*""","=""3/2""",4,"=""""","=""44.09586""","=""""",
"=""3d2.(1D).4p""","=""2P*""","=""3/2""",4,"=""""","=""44.35599""","=""""",
"=""3d2.(1D).4p""","=""2F*""","=""5/2""",6,"=""""","=""44.42783""","=""""",
"=""3d2.(1D).4p""","=""2P*""","=""1/2""",2,"=""""","=""44.52264""","=""""",
"=""3d2.(3P).4p""","=""4D*""","=""1/2""",2,"=""""","=""44.55941""","=""""",
"=""3d2.(3P).4p""","=""4D*""","=""3/2""",4,"=""""","=""44.60720""","=""""",
"=""3d2.(1D).4p""","=""2F*""","=""7/2""",8,"=""""","=""44.61993""","=""""",
"=""3d2.(3P).4p""","=""4D*""","=""5/2""",6,"=""""","=""44.72198""","=""""",
"=""3d2.(1D).4p""","=""2D*""","=""3/2""",4,"=""""","=""44.86470""","=""""",
"=""3d2.(3P).4p""","=""4D*""","=""7/2""",8,"=""""","=""44.91576""","=""""",
"=""3d2.(1D).4p""","=""2D*""","=""5/2""",6,"=""""","=""44.95703""","=""""",
"=""3d2.(3P).4p""","=""4P*""","=""1/2""",2,"=""""","=""45.12352""","=""""",
"=""3d2.(3P).4p""","=""4P*""","=""3/2""",4,"=""""","=""45.17896""","=""""",
"=""3d2.(1G).4p""","=""2G*""","=""7/2""",8,"=""""","=""45.26378""","=""""",
"=""3d2.(1G).4p""","=""2G*""","=""9/2""",10,"=""""","=""45.28729""","=""""",
"=""3d2.(3P).4p""","=""4P*""","=""5/2""",6,"=""""","=""45.31548""","=""""",
"=""3d2.(3P).4p""","=""2D*""","=""3/2""",4,"=""""","=""45.94087""","=""""",
"=""3d2.(3P).4p""","=""2D*""","=""5/2""",6,"=""""","=""45.94601""","=""""",
"=""3d2.(1G).4p""","=""2H*""","=""9/2""",10,"=""""","=""46.13397""","=""""",
"=""3d2.(1G).4p""","=""2H*""","=""11/2""",12,"=""""","=""46.33365""","=""""",
"=""3d2.(3P).4p""","=""2P*""","=""1/2""",2,"=""""","=""46.38104""","=""""",
"=""3d2.(3P).4p""","=""2P*""","=""3/2""",4,"=""""","=""46.42286""","=""""",
"=""3d2.(1G).4p""","=""2F*""","=""7/2""",8,"=""""","=""46.86005""","=""""",
"=""3d2.(1G).4p""","=""2F*""","=""5/2""",6,"=""""","=""46.99963""","=""""",
"=""3d2.(1S).4p""","=""2P*""","=""1/2""",2,"=""""","=""50.61127""","=""""",
"=""3d2.(1S).4p""","=""2P*""","=""3/2""",4,"=""""","=""50.88181""","=""""",
"=""3p5.(2P*).3d4.(1G)""","=""2G*""","=""7/2""",8,"=""""","=""71.406""","=""""",
"=""3p5.(2P*).3d4.(1G)""","=""2G*""","=""9/2""",10,"=""""","=""71.538""","=""""",
"=""3p5.(2P*).3d4.(5D)""","=""4D*""","=""1/2""",2,"=""""","=""74.789""","=""""",
"=""3p5.(2P*).3d4.(3H)""","=""2H*""","=""9/2""",10,"=""""","=""74.805""","=""""",
"=""3p5.(2P*).3d4.(5D)""","=""4D*""","=""3/2""",4,"=""""","=""74.915""","=""""",
"=""3p5.(2P*).3d4.(5D)""","=""4D*""","=""5/2""",6,"=""""","=""75.063""","=""""",
"=""3p5.(2P*).3d4.(3H)""","=""2H*""","=""11/2""",12,"=""""","=""75.102""","=""""",
"=""3p5.(2P*).3d4.(5D)""","=""4D*""","=""7/2""",8,"=""""","=""75.163""","=""""",
"=""3p5.(2P*).3d4.(3F)""","=""2D*""","=""5/2""",6,"=""""","=""76.563""","=""""",
"=""3p5.(2P*).3d4.(3F)""","=""2D*""","=""3/2""",4,"=""""","=""76.658""","=""""",
"=""3p5.(2P*).3d4.(3H)""","=""2G*""","=""9/2""",10,"=""""","=""78.140""","=""""",
"=""3p5.(2P*).3d4.(3H)""","=""2G*""","=""7/2""",8,"=""""","=""78.264""","=""""",
"=""3p5.(2P*).3d4.(3G)""","=""2F*""","=""7/2""",8,"=""""","=""78.627""","=""""",
"=""3p5.(2P*).3d4.(3G)""","=""2F*""","=""5/2""",6,"=""""","=""78.783""","=""""",
"=""Fe VII (3d2 3F<2>)""","=""Limit""","=""---""",,"=""""","=""98.985""","=""""",
