Configuration,Term,J,g,Prefix,Level (eV),Suffix
"=""3p6.3d2""","=""3F""","=""2.000""",5,"=""""","=""0.000000""","=""""",
"=""3p6.3d2""","=""3F""","=""3.000""",7,"=""""","=""0.130152""","=""""",
"=""3p6.3d2""","=""3F""","=""4.000""",9,"=""""","=""0.288819""","=""""",
"=""3p6.3d2""","=""1D""","=""2.000""",5,"=""""","=""2.166500""","=""""",
"=""3p6.3d2""","=""3P""","=""0""",1,"=""""","=""2.48464""","=""""",
"=""3p6.3d2""","=""3P""","=""1.000""",3,"=""""","=""2.53285""","=""""",
"=""3p6.3d2""","=""3P""","=""2.000""",5,"=""""","=""2.63788""","=""""",
"=""3p6.3d2""","=""1G""","=""4.000""",9,"=""""","=""3.58606""","=""""",
"=""3p6.3d2""","=""1S""","=""0""",1,"=""""","=""8.31648""","=""""",
"=""3p6.3d.4s""","=""3D""","=""1.000""",3,"=""""","=""42.70779""","=""""",
"=""3p6.3d.4s""","=""3D""","=""2.000""",5,"=""""","=""42.77786""","=""""",
"=""3p6.3d.4s""","=""3D""","=""3.000""",7,"=""""","=""42.93075""","=""""",
"=""3p6.3d.4s""","=""1D""","=""2.000""",5,"=""""","=""43.43542""","=""""",
"=""3p5.3d3.(4P)""","=""5S*""","=""2.000""",5,"=""""","=""48.2720""","=""""",
"=""3p5.3d3.(4F)""","=""5D*""","=""2.000""",5,"=""""","=""49.0276""","=""""",
"=""3p5.3d3.(4F)""","=""5D*""","=""3.000""",7,"=""""","=""49.0354""","=""""",
"=""3p5.3d3.(4F)""","=""5D*""","=""1.000""",3,"=""""","=""49.0376""","=""""",
"=""3p5.3d3.(4F)""","=""5D*""","=""4.000""",9,"=""""","=""49.0918""","=""""",
"=""3p5.3d3.(4F)""","=""5F*""","=""5.000""",11,"=""""","=""50.0227""","=""""",
"=""3p5.3d3.(4F)""","=""5F*""","=""4.000""",9,"=""""","=""50.1548""","=""""",
"=""3p5.3d3.(4F)""","=""5F*""","=""3.000""",7,"=""""","=""50.2012""","=""""",
"=""3p5.3d3.(2G)""","=""3F*""","=""3.000""",7,"=""""","=""52.48089""","=""""",
"=""3p5.3d3.(4F)""","=""5G*""","=""2.000""",5,"=""""","=""52.57890""","=""""",
"=""3p5.3d3.(2D2)""","=""3D*""","=""2.000""",5,"=""""","=""52.64725""","=""""",
"=""3p5.3d3.(2G)""","=""3F*""","=""4.000""",9,"=""""","=""52.69219""","=""""",
"=""3p6.3d.4p""","=""3D*""","=""1.000""",3,"=""""","=""52.70904""","=""""",
"=""3p5.3d3.(2D2)""","=""3D*""","=""3.000""",7,"=""""","=""52.72422""","=""""",
"=""3p6.3d.4p""","=""1D*""","=""2.000""",5,"=""""","=""52.74086""","=""""",
"=""3p6.3d.4p""","=""3D*""","=""2.000""",5,"=""""","=""53.03829""","=""""",
"=""3p5.3d3.(2P)""","=""3P*""","=""1.000""",3,"=""""","=""53.0491""","=""""",
"=""3p5.3d3.(2P)""","=""3P*""","=""2.000""",5,"=""""","=""53.33829""","=""""",
