Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""1s2.2s""","=""2S""","=""1/2""","="" 0.0000""","=""""","=""L4995"""
"=""1s2.2p""","=""2P*""","=""1/2""","="" 19.8393""","=""""","="""""
"=""1s2.2p""","=""2P*""","=""3/2""","="" 20.332""","=""""","="""""
"=""1s2.3s""","=""2S""","=""1/2""","="" 208.628""","=""""","="""""
"=""1s2.3p""","=""2P*""","=""1/2""","="" 214.061""","=""""","="""""
"=""1s2.3p""","=""2P*""","=""3/2""","="" 214.224""","=""""","="""""
"=""1s2.3d""","=""2D""","=""3/2""","="" 216.17""","=""""","="""""
"=""1s2.3d""","=""2D""","=""5/2""","="" 216.215""","=""""","="""""
"=""1s2.4s""","=""2S""","=""1/2""","=""[279.29]""","=""""","="""""
"=""1s2.4p""","=""2P*""","=""3/2""","="" 281.463""","=""""","="""""
"=""1s2.4p""","=""2P*""","=""1/2""","="" 281.463""","=""""","="""""
"=""1s2.4d""","=""2D""","=""3/2""","="" 282.359""","=""""","="""""
"=""1s2.4d""","=""2D""","=""5/2""","="" 282.40""","=""""","="""""
"=""1s2.4f""","=""2F*""","=""5/2""","="" 282.443""","=""""","="""""
"=""1s2.4f""","=""2F*""","=""7/2""","="" 282.453""","=""""","="""""
"=""1s2.5s""","=""2S""","=""1/2""","="" 311.40""","=""""","="""""
"=""1s2.5p""","=""2P*""","=""3/2""","="" 312.55""","=""""","="""""
"=""1s2.5p""","=""2P*""","=""1/2""","="" 312.55""","=""""","="""""
"=""1s2.5d""","=""2D""","=""3/2""","="" 312.99""","=""""","="""""
"=""1s2.5d""","=""2D""","=""5/2""","="" 313.01""","=""""","="""""
"=""1s2.5f""","=""2F*""","=""5/2""","=""[313.063]""","=""""","="""""
"=""1s2.5f""","=""2F*""","=""7/2""","=""[313.068]""","=""""","="""""
"=""1s2.6p""","=""2P*""","=""3/2""","="" 329.36""","=""""","="""""
"=""1s2.6p""","=""2P*""","=""1/2""","="" 329.36""","=""""","="""""
"=""1s2.6d""","=""2D""","=""5/2""","="" 329.65""","=""""","="""""
"=""1s2.6d""","=""2D""","=""3/2""","="" 329.65""","=""""","="""""
"=""1s2.7p""","=""2P*""","=""3/2""","="" 339.52""","=""""","="""""
"=""1s2.7p""","=""2P*""","=""1/2""","="" 339.52""","=""""","="""""
"=""1s2.7d""","=""2D""","=""3/2""","="" 339.67""","=""""","="""""
"=""1s2.7d""","=""2D""","=""5/2""","="" 339.67""","=""""","="""""
"=""1s2.8p""","=""2P*""","=""3/2""","="" 346.06""","=""""","="""""
"=""1s2.8p""","=""2P*""","=""1/2""","="" 346.06""","=""""","="""""
"=""1s2.9p""","=""2P*""","=""3/2""","="" 350.58""","=""""","="""""
"=""1s2.9p""","=""2P*""","=""1/2""","="" 350.58""","=""""","="""""
"=""Mg XI (1s2 1S<0>)""","=""Limit""","=""---""","=""(367.489)""","=""0.007""","=""L16264c99"""
"=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""1/2""","="" 1319.983""","=""""","="""""
"=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""3/2""","="" 1320.11""","=""""","="""""
"=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""5/2""","="" 1320.44""","=""""","="""""
"=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""3/2""","="" 1335.46""","=""""","="""""
"=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""1/2""","="" 1335.46""","=""""","="""""
"=""1s.(2S).2p2.(3P)""","=""4P""","=""1/2""","="" 1341.10""","=""""","="""""
"=""1s.(2S).2p2.(3P)""","=""4P""","=""3/2""","="" 1341.327""","=""""","="""""
"=""1s.(2S).2p2.(3P)""","=""4P""","=""5/2""","="" 1341.57""","=""""","="""""
"=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""3/2""","=""[1342.6]""","=""""","="""""
"=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""1/2""","=""[1342.6]""","=""""","="""""
"=""1s.(2S).2p2.(1D)""","=""2D""","=""5/2""","="" 1350.7""","=""""","="""""
"=""1s.(2S).2p2.(1D)""","=""2D""","=""3/2""","="" 1350.7""","=""""","="""""
"=""1s.(2S).2p2.(3P)""","=""2P""","=""3/2""","="" 1353.9""","=""""","="""""
"=""1s.(2S).2p2.(3P)""","=""2P""","=""1/2""","="" 1353.9""","=""""","="""""
"=""1s.(2S).2p2.(1S)""","=""2S""","=""1/2""","="" 1364.8""","=""""","="""""
"=""1s.2s.(3S).3p""","=""2P*""","=""3/2""","="" 1539.8""","=""""","="""""
"=""1s.2s.(3S).3p""","=""2P*""","=""1/2""","="" 1539.8""","=""""","="""""
"=""1s.2s.(1S).3p""","=""2P*""","=""3/2""","="" 1550.3""","=""""","="""""
"=""1s.2s.(1S).3p""","=""2P*""","=""1/2""","="" 1550.3""","=""""","="""""
"=""1s.2p.(3P*).3p""","=""2P""","=""1/2""","="" 1552.0""","=""""","="""""
"=""1s.2p.(3P*).3p""","=""2P""","=""3/2""","="" 1552.0""","=""""","="""""
"=""1s.2p.(3P*).3p""","=""2D""","=""5/2""","=""[1557.4]""","=""""","="""""
"=""1s.2p.(3P*).3p""","=""2D""","=""3/2""","=""[1557.4]""","=""""","="""""
"=""Mg XI (1s.2s 3S<1>)""","=""Limit""","=""---""","=""[1698.61]""","=""""","="""""
