Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""1s2""","=""1S""","=""0""","="" 0.0000""","=""""","=""L4995"""
"=""1s.2s""","=""3S""","=""1""","=""[1331.1112]""","=""""","="""""
"=""1s.2p""","=""3P*""","=""0""","=""[1342.9955]""","=""""","="""""
"=""1s.2p""","=""3P*""","=""1""","=""[1343.0983]""","=""""","="""""
"=""1s.2p""","=""3P*""","=""2""","=""[1343.5409]""","=""""","="""""
"=""1s.2s""","=""1S""","=""0""","=""[1343.8372]""","=""""","="""""
"=""1s.2p""","=""1P*""","=""1""","=""[1352.2475]""","=""""","="""""
"=""1s.3s""","=""3S""","=""1""","=""[1573.505]""","=""""","="""""
"=""1s.3p""","=""3P*""","=""0""","=""[1576.7647]""","=""""","="""""
"=""1s.3p""","=""3P*""","=""1""","=""[1576.7974]""","=""""","="""""
"=""1s.3p""","=""3P*""","=""2""","=""[1576.9285]""","=""""","="""""
"=""1s.3s""","=""1S""","=""0""","=""[1576.8687]""","=""""","="""""
"=""1s.3d""","=""3D""","=""1""","=""[1578.7135]""","=""""","="""""
"=""1s.3d""","=""3D""","=""2""","=""[1578.7184]""","=""""","="""""
"=""1s.3d""","=""3D""","=""3""","=""[1578.7656]""","=""""","="""""
"=""1s.3d""","=""1D""","=""2""","=""[1578.8517]""","=""""","="""""
"=""1s.3p""","=""1P*""","=""1""","=""[1579.3115]""","=""""","="""""
"=""1s.4s""","=""3S""","=""1""","=""[1656.6757]""","=""""","="""""
"=""1s.4p""","=""3P*""","=""0""","=""[1658.0186]""","=""""","="""""
"=""1s.4p""","=""3P*""","=""1""","=""[1658.0325]""","=""""","="""""
"=""1s.4p""","=""3P*""","=""2""","=""[1658.0876]""","=""""","="""""
"=""1s.4s""","=""1S""","=""0""","=""[1658.0378]""","=""""","="""""
"=""1s.4d""","=""3D""","=""1""","=""[1658.8323]""","=""""","="""""
"=""1s.4d""","=""3D""","=""2""","=""[1658.83]""","=""""","="""""
"=""1s.4d""","=""3D""","=""3""","=""[1658.8543]""","=""""","="""""
"=""1s.4d""","=""1D""","=""2""","=""[1658.887]""","=""""","="""""
"=""1s.4f""","=""3F*""","=""4""","=""[1658.8953]""","=""""","="""""
"=""1s.4f""","=""3F*""","=""3""","=""[1658.8953]""","=""""","="""""
"=""1s.4f""","=""3F*""","=""2""","=""[1658.8953]""","=""""","="""""
"=""1s.4f""","=""1F*""","=""3""","=""[1658.8959]""","=""""","="""""
"=""1s.4p""","=""1P*""","=""1""","=""[1659.0654]""","=""""","="""""
"=""1s.5s""","=""3S""","=""1""","=""[1694.8166]""","=""""","="""""
"=""1s.5p""","=""3P*""","=""0""","=""[1695.4952]""","=""""","="""""
"=""1s.5p""","=""3P*""","=""1""","=""[1695.5024]""","=""""","="""""
"=""1s.5p""","=""3P*""","=""2""","=""[1695.5307]""","=""""","="""""
"=""1s.5s""","=""1S""","=""0""","=""[1695.5009]""","=""""","="""""
"=""1s.5d""","=""3D""","=""1""","=""[1695.9082]""","=""""","="""""
"=""1s.5d""","=""3D""","=""2""","=""[1695.909]""","=""""","="""""
"=""1s.5d""","=""3D""","=""3""","=""[1695.9195]""","=""""","="""""
"=""1s.5d""","=""1D""","=""2""","=""[1695.940]""","=""""","="""""
"=""1s.5f""","=""3F*""","=""3""","=""[1695.9417]""","=""""","="""""
"=""1s.5f""","=""3F*""","=""2""","=""[1695.9417]""","=""""","="""""
"=""1s.5f""","=""3F*""","=""4""","=""[1695.9417]""","=""""","="""""
"=""1s.5f""","=""1F*""","=""3""","=""[1695.9417]""","=""""","="""""
"=""1s.5g""","=""3G""","=""3""","=""[1695.9479]""","=""""","="""""
"=""1s.5g""","=""3G""","=""5""","=""[1695.9479]""","=""""","="""""
"=""1s.5g""","=""3G""","=""4""","=""[1695.9479]""","=""""","="""""
"=""1s.5g""","=""1G""","=""4""","=""[1695.9479]""","=""""","="""""
"=""1s.5p""","=""1P*""","=""1""","=""[1696.0249]""","=""""","="""""
"=""1s.6h""","=""3H*""","=""4""","=""[1716.0720]""","=""""","="""""
"=""1s.6h""","=""3H*""","=""6""","=""[1716.0720]""","=""""","="""""
"=""1s.6h""","=""3H*""","=""5""","=""[1716.0720]""","=""""","="""""
"=""1s.6h""","=""1H*""","=""5""","=""[1716.0720]""","=""""","="""""
"=""1s.6p""","=""1P*""","=""1""","=""[1716.1139]""","=""""","="""""
"=""1s.7p""","=""1P*""","=""1""","=""[1728.2309]""","=""""","="""""
"=""1s.8p""","=""1P*""","=""1""","=""[1736.0969]""","=""""","="""""
"=""1s.9p""","=""1P*""","=""1""","=""[1741.491]""","=""""","="""""
"=""1s.10p""","=""1P*""","=""1""","=""[1745.3494]""","=""""","="""""
"=""Mg XII (1s 2S<1/2>)""","=""Limit""","=""---""","=""(1761.80488)""","=""0.00020""","=""L12128"""
"=""2s2""","=""1S""","=""0""","=""[2782.30]""","=""""","="""""
"=""2s.2p""","=""3P*""","=""0""","=""[2785.33]""","=""""","="""""
"=""2s.2p""","=""3P*""","=""1""","=""[2785.60]""","=""""","="""""
"=""2s.2p""","=""3P*""","=""2""","=""[2786.20]""","=""""","="""""
"=""2p2""","=""3P""","=""0""","=""[2795.81]""","=""""","="""""
"=""2p2""","=""3P""","=""1""","=""[2796.10]""","=""""","="""""
"=""2p2""","=""3P""","=""2""","=""[2796.62]""","=""""","="""""
"=""2p2""","=""1D""","=""2""","=""[2802.10]""","=""""","="""""
"=""2s.2p""","=""1P*""","=""1""","=""[2803.18]""","=""""","="""""
"=""2p2""","=""1S""","=""0""","=""[2820.24]""","=""""","="""""
"=""Mg XII (2p 2P*<1/2>)""","=""Limit""","=""---""","=""[3233.4950]""","=""""","="""""
