Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""2s2.2p2""","=""3P""","=""0""","="" 0.0000""","=""""","=""L4995"""
"=""2s2.2p2""","=""3P""","=""1""","="" 0.1373""","=""""","="""""
"=""2s2.2p2""","=""3P""","=""2""","="" 0.3625""","=""""","="""""
"=""2s2.2p2""","=""1D""","=""2""","="" 5.0769""","=""""","="""""
"=""2s2.2p2""","=""1S""","=""0""","="" 10.5576""","=""""","="""""
"=""2s.2p3""","=""5S*""","=""2""","="" 14.64+x""","=""""","="""""
"=""2s.2p3""","=""3D*""","=""3""","="" 28.8701""","=""""","="""""
"=""2s.2p3""","=""3D*""","=""2""","="" 28.8830""","=""""","="""""
"=""2s.2p3""","=""3D*""","=""1""","="" 28.8913""","=""""","="""""
"=""2s.2p3""","=""3P*""","=""1""","="" 34.0829""","=""""","="""""
"=""2s.2p3""","=""3P*""","=""2""","="" 34.0838""","=""""","="""""
"=""2s.2p3""","=""3P*""","=""0""","="" 34.0891""","=""""","="""""
"=""2s.2p3""","=""1D*""","=""2""","="" 43.9401""","=""""","="""""
"=""2s.2p3""","=""3S*""","=""1""","="" 44.8968""","=""""","="""""
"=""2s.2p3""","=""1P*""","=""1""","="" 49.2407""","=""""","="""""
"=""2p4""","=""3P""","=""2""","="" 67.2386""","=""""","="""""
"=""2p4""","=""3P""","=""1""","="" 67.4961""","=""""","="""""
"=""2p4""","=""3P""","=""0""","="" 67.6041""","=""""","="""""
"=""2p4""","=""1D""","=""2""","="" 71.450""","=""""","="""""
"=""2p4""","=""1S""","=""0""","="" 81.636""","=""""","="""""
"=""2s2.2p.3s""","=""3P*""","=""0""","="" 129.887""","=""""","="""""
"=""2s2.2p.3s""","=""3P*""","=""1""","="" 129.985""","=""""","="""""
"=""2s2.2p.3s""","=""3P*""","=""2""","="" 130.294""","=""""","="""""
"=""2s2.2p.3s""","=""1P*""","=""1""","="" 131.551""","=""""","="""""
"=""2s2.2p.3p""","=""3P""","=""0""","="" 139.326?""","=""""","="""""
"=""2s2.2p.3p""","=""3P""","=""1""","="" 139.475""","=""""","="""""
"=""2s2.2p.3p""","=""3P""","=""2""","="" 139.586""","=""""","="""""
"=""2s2.2p.3d""","=""3F*""","=""4""","="" ""","=""""","="""""
"=""2s2.2p.3d""","=""3F*""","=""3""","="" ""","=""""","="""""
"=""2s2.2p.3d""","=""3F*""","=""2""","="" 146.146""","=""""","="""""
"=""2s.2p2.(4P).3s""","=""5P""","=""1""","="" ""","=""""","="""""
"=""2s.2p2.(4P).3s""","=""5P""","=""2""","="" 146.296+x""","=""""","="""""
"=""2s.2p2.(4P).3s""","=""5P""","=""3""","="" 146.480+x""","=""""","="""""
"=""2s2.2p.3d""","=""1D*""","=""2""","="" 146.414""","=""""","="""""
"=""2s2.2p.3d""","=""3D*""","=""1""","="" 147.758""","=""""","="""""
"=""2s2.2p.3d""","=""3D*""","=""2""","="" 147.810""","=""""","="""""
