Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""2s2.2p.3d""","=""3D*""","=""3""","="" 147.919""","=""""","="""""
"=""2s2.2p.3d""","=""3P*""","=""2""","="" 148.378""","=""""","="""""
"=""2s2.2p.3d""","=""3P*""","=""1""","="" 148.465""","=""""","="""""
"=""2s2.2p.3d""","=""3P*""","=""0""","="" 148.514""","=""""","="""""
"=""2s.2p2.(4P).3s""","=""3P""","=""0""","="" 150.165?""","=""""","="""""
"=""2s.2p2.(4P).3s""","=""3P""","=""1""","="" 150.273""","=""""","="""""
"=""2s.2p2.(4P).3s""","=""3P""","=""2""","="" 150.476""","=""""","="""""
"=""2s2.2p.3d""","=""1F*""","=""3""","="" 150.245""","=""""","="""""
"=""2s2.2p.3d""","=""1P*""","=""1""","="" 150.368""","=""""","="""""
"=""2s.2p2.(4P).3p""","=""3S*?""","=""1?""","="" 153.159""","=""""","="""""
"=""2s.2p2.(4P).3p""","=""3D*?""","=""1""","="" ""","=""""","="""""
"=""2s.2p2.(4P).3p""","=""3D*?""","=""2""","="" 156.816""","=""""","="""""
"=""2s.2p2.(4P).3p""","=""3D*?""","=""3""","="" 156.971?""","=""""","="""""
"=""2s.2p2.(4P).3p""","=""3P*?""","=""1""","="" 158.266""","=""""","="""""
"=""2s.2p2.(4P).3p""","=""3P*?""","=""2""","="" 158.266""","=""""","="""""
"=""2s.2p2.(2D).3s""","=""3D""","=""3""","="" 159.343?""","=""""","="""""
"=""2s.2p2.(2D).3p""","=""3D*?""","=""3""","="" 161.084""","=""""","="""""
"=""2s.2p2.(2D).3p""","=""3D*?""","=""2""","="" 161.084""","=""""","="""""
"=""2s.2p2.(2D).3p""","=""3D*?""","=""1""","="" 161.084""","=""""","="""""
"=""2s.2p2.(2D).3s""","=""1D""","=""2""","="" 161.837?""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""5P""","=""3""","="" 163.994+x""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""5P""","=""2""","="" 164.077+x""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""5P""","=""1""","="" 164.129+x""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""3P""","=""2""","="" 164.274""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""3P""","=""1""","="" 164.406""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""3P""","=""0""","="" 164.471?""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""3F""","=""2""","="" 165.292?""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""3F""","=""3""","="" 165.407""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""3F""","=""4""","="" 165.559""","=""""","="""""
"=""2s.2p2.(2D).3p""","=""1F*""","=""3""","="" 167.377""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""3D""","=""1""","="" 167.458""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""3D""","=""2""","="" 167.494""","=""""","="""""
"=""2s.2p2.(4P).3d""","=""3D""","=""3""","="" 167.545""","=""""","="""""
"=""2s.2p2.(2D).3p""","=""1D*""","=""2""","="" 168.268""","=""""","="""""
"=""2s.2p2.(2D).3d""","=""3F?""","=""2""","="" 175.350""","=""""","="""""
"=""2s.2p2.(2D).3d""","=""3F?""","=""4""","="" 175.350""","=""""","="""""
"=""2s.2p2.(2D).3d""","=""3F?""","=""3""","="" 175.350""","=""""","="""""
"=""2s.2p2.(2D).3d""","=""3D""","=""1""","="" ""","=""""","="""""
"=""2s.2p2.(2D).3d""","=""3D""","=""2""","="" 176.308?""","=""""","="""""
"=""2s.2p2.(2D).3d""","=""3D""","=""3""","="" 176.380?""","=""""","="""""
"=""2s.2p2.(2D).3d""","=""3S""","=""1""","="" 178.198?""","=""""","="""""
"=""2s.2p2.(2D).3d""","=""1F?""","=""3?""","="" 178.331?""","=""""","="""""
"=""2s2.2p.4d""","=""1D*""","=""2""","="" 181.710?""","=""""","="""""
"=""2s2.2p.4d""","=""3D*""","=""1""","="" ""","=""""","="""""
"=""2s2.2p.4d""","=""3D*""","=""2""","="" 182.200?""","=""""","="""""
"=""2s2.2p.4d""","=""3D*""","=""3""","="" 182.308?""","=""""","="""""
"=""2s2.2p.4d""","=""3P*""","=""2""","="" 182.521?""","=""""","="""""
"=""2s2.2p.4d""","=""1F*""","=""3""","="" 183.177?""","=""""","="""""
"=""2s2.2p.4d""","=""1P*""","=""1""","="" 183.271?""","=""""","="""""
"=""2s.2p2.(4P).4s""","=""5P""","=""3""","="" 192.017+x?""","=""""","="""""
"=""2s.2p2.(4P).4p""","=""3D*""","=""3""","="" 195.933?""","=""""","="""""
"=""2s2.2p.5d""","=""3P*""","=""2""","="" 198.117?""","=""""","="""""
"=""2s.2p2.(4P).4d""","=""5P""","=""3""","="" 198.331+x""","=""""","="""""
"=""2s.2p2.(4P).4d""","=""5P""","=""2""","="" 198.404+x""","=""""","="""""
"=""2s.2p2.(4P).4d""","=""5P""","=""1""","="" 198.450+x""","=""""","="""""
"=""2s2.2p.5d""","=""1F*""","=""3""","="" 198.433?""","=""""","="""""
"=""2s.2p2.(4P).4d""","=""3F""","=""2""","="" 198.975?""","=""""","="""""
"=""2s.2p2.(4P).4d""","=""3F""","=""3""","="" 199.069?""","=""""","="""""
"=""2s.2p2.(4P).4d""","=""3F""","=""4""","="" 199.209?""","=""""","="""""
"=""2s2.2p.6d""","=""3P*""","=""2""","="" 206.529?""","=""""","="""""
"=""2s2.2p.6d""","=""3P*""","=""1""","="" 206.529?""","=""""","="""""
"=""2s2.2p.6d""","=""3P*""","=""0""","="" 206.529?""","=""""","="""""
"=""2s.2p2.(2D).4d""","=""3F""","=""4""","="" 210.261?""","=""""","="""""
"=""2s.2p2.(4P).5p""","=""3D*""","=""3""","="" 212.970?""","=""""","="""""
"=""2s.2p2.(4P).5d""","=""5P""","=""3""","="" 214.084+x?""","=""""","="""""
"=""2s.2p2.(4P).5d""","=""3F""","=""4""","="" 214.509?""","=""""","="""""
"=""2s.2p2.(4P).6d""","=""5P""","=""3""","="" 222.531+x?""","=""""","="""""
"=""Mg VIII (2p 2P*<1/2>)""","=""Limit""","=""---""","=""[225.02]""","=""0.06""","=""L11770"""
