Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""2s.2p.(1P*).3d""","=""2F*""","=""7/2""","="" 198.062?""","=""""","="""""
"=""2s.2p.(1P*).3d""","=""2D*""","=""3/2""","="" 199.348""","=""""","="""""
"=""2s.2p.(1P*).3d""","=""2D*""","=""5/2""","="" 199.393""","=""""","="""""
"=""2s.2p.(1P*).3d""","=""2P*""","=""3/2""","="" 199.698""","=""""","="""""
"=""2s.2p.(1P*).3d""","=""2P*""","=""1/2""","="" 199.698""","=""""","="""""
"=""2p2.(1D).3s""","=""2D""","=""3/2""","="" 203.184""","=""""","="""""
"=""2p2.(1D).3s""","=""2D""","=""5/2""","="" 203.184""","=""""","="""""
"=""2p2.(3P).3p""","=""4D*""","=""7/2""","="" 204.113+x?""","=""""","="""""
"=""2s2.4s""","=""2S""","=""1/2""","="" 204.311""","=""""","="""""
"=""2p2.(3P).3p""","=""4P*?""","=""5/2""","="" 204.860+x""","=""""","="""""
"=""2p2.(3P).3p""","=""4S*?""","=""3/2""","="" 207.552+x""","=""""","="""""
"=""2p2.(1D).3p""","=""2F*""","=""5/2""","="" 209.590?""","=""""","="""""
"=""2p2.(1D).3p""","=""2F*""","=""7/2""","="" 209.665?""","=""""","="""""
"=""2s2.4d""","=""2D""","=""5/2""","="" 210.008""","=""""","="""""
"=""2s2.4d""","=""2D""","=""3/2""","="" 210.008""","=""""","="""""
"=""2p2.(3P).3d""","=""2F""","=""7/2""","="" 211.022?""","=""""","="""""
"=""2p2.(3P).3d""","=""2D""","=""5/2""","="" 211.180?""","=""""","="""""
"=""2p2.(3P).3d""","=""4P""","=""5/2""","="" 212.744+x""","=""""","="""""
"=""2p2.(3P).3d""","=""4P""","=""3/2""","="" 212.845+x""","=""""","="""""
"=""2p2.(3P).3d""","=""4P""","=""1/2""","="" 212.899+x""","=""""","="""""
"=""2p2.(1D).3d""","=""2D""","=""5/2""","="" 214.976?""","=""""","="""""
"=""2p2.(1D).3d""","=""2F""","=""7/2""","="" 217.236?""","=""""","="""""
"=""2p2.(1D).3d""","=""2P""","=""1/2""","="" 217.424?""","=""""","="""""
"=""2p2.(1D).3d""","=""2P""","=""3/2""","="" 217.566?""","=""""","="""""
"=""2s.2p.(3P*).4s""","=""4P*?""","=""5/2""","="" 221.787+x""","=""""","="""""
"=""2s.2p.(3P*).4p""","=""2P""","=""3/2""","="" 224.928?""","=""""","="""""
"=""2s.2p.(3P*).4p""","=""2D""","=""3/2""","="" 226.029?""","=""""","="""""
"=""2s.2p.(3P*).4p""","=""2D""","=""5/2""","="" 226.303?""","=""""","="""""
"=""2s.2p.(3P*).4d""","=""4D*""","=""3/2""","="" ""","=""""","="""""
"=""2s.2p.(3P*).4d""","=""4D*""","=""1/2""","="" ""","=""""","="""""
"=""2s.2p.(3P*).4d""","=""4D*""","=""5/2""","="" 227.773+x""","=""""","="""""
"=""2s.2p.(3P*).4d""","=""4D*""","=""7/2""","="" 227.790+x""","=""""","="""""
"=""2s.2p.(3P*).4d""","=""2D*""","=""5/2""","="" 227.838""","=""""","="""""
"=""2s.2p.(3P*).4d""","=""2D*""","=""3/2""","="" 227.838""","=""""","="""""
"=""2s.2p.(3P*).4d""","=""4P*""","=""1/2""","="" ""","=""""","="""""
"=""2s.2p.(3P*).4d""","=""4P*""","=""5/2""","="" 227.981+x?""","=""""","="""""
"=""2s.2p.(3P*).4d""","=""4P*""","=""3/2""","="" 228.050+x?""","=""""","="""""
"=""2s.2p.(3P*).4d""","=""2F*""","=""5/2""","="" 228.893?""","=""""","="""""
"=""2s.2p.(3P*).4d""","=""2F*""","=""7/2""","="" 229.125?""","=""""","="""""
"=""2s2.5d""","=""2D""","=""3/2""","="" 230.402""","=""""","="""""
"=""2s2.5d""","=""2D""","=""5/2""","="" 230.415""","=""""","="""""
"=""2s2.6d""","=""2D""","=""3/2""","="" 241.281""","=""""","="""""
"=""2s2.6d""","=""2D""","=""5/2""","="" 241.281""","=""""","="""""
"=""2s.2p.(1P*).4d""","=""2F*""","=""5/2""","="" 243.542?""","=""""","="""""
"=""2s.2p.(1P*).4d""","=""2F*""","=""7/2""","="" 243.542?""","=""""","="""""
"=""2s.2p.(1P*).4d""","=""2D*""","=""3/2""","="" 244.086?""","=""""","="""""
"=""2s.2p.(1P*).4d""","=""2D*""","=""5/2""","="" 244.086?""","=""""","="""""
"=""2s.2p.(3P*).5d""","=""4D*""","=""1/2""","="" ""","=""""","="""""
"=""2s.2p.(3P*).5d""","=""4D*""","=""3/2""","="" ""","=""""","="""""
"=""2s.2p.(3P*).5d""","=""4D*""","=""5/2""","="" 248.061+x?""","=""""","="""""
"=""2s.2p.(3P*).5d""","=""4D*""","=""7/2""","="" 248.148+x""","=""""","="""""
"=""2s.2p.(3P*).5d""","=""4P*""","=""5/2""","="" 248.263+x""","=""""","="""""
"=""2s.2p.(3P*).5d""","=""2F*""","=""5/2""","="" 248.621?""","=""""","="""""
"=""2s.2p.(3P*).5d""","=""2F*""","=""7/2""","="" 248.793?""","=""""","="""""
"=""2p2.(3P).4p""","=""4D*""","=""7/2""","="" 253.088+x?""","=""""","="""""
"=""2s.2p.(3P*).6d""","=""2F*""","=""7/2""","="" 259.491?""","=""""","="""""
"=""2s.2p.(1P*).5d""","=""2F*""","=""7/2""","="" 264.10?""","=""""","="""""
"=""2s.2p.(1P*).5d""","=""2F*""","=""5/2""","="" 264.10?""","=""""","="""""
"=""2s.2p.(1P*).5d""","=""2D*""","=""5/2""","="" 264.386?""","=""""","="""""
"=""2s.2p.(1P*).5d""","=""2D*""","=""3/2""","="" 264.386?""","=""""","="""""
"=""Mg IX (2s2 1S<0>)""","=""Limit""","=""---""","=""[265.924]""","=""0.019""","=""L11770"""
