Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""2s2.2p""","=""2P*""","=""1/2""","="" 0.0000""","=""""","=""L4995"""
"=""2s2.2p""","=""2P*""","=""3/2""","="" 0.4094""","=""""","="""""
"=""2s.2p2""","=""4P""","=""1/2""","="" 16.104+x""","=""""","="""""
"=""2s.2p2""","=""4P""","=""3/2""","="" 16.246+x""","=""""","="""""
"=""2s.2p2""","=""4P""","=""5/2""","="" 16.454+x""","=""""","="""""
"=""2s.2p2""","=""2D""","=""5/2""","="" 28.7983""","=""""","="""""
"=""2s.2p2""","=""2D""","=""3/2""","="" 28.8024""","=""""","="""""
"=""2s.2p2""","=""2S""","=""1/2""","="" 36.9823""","=""""","="""""
"=""2s.2p2""","=""2P""","=""1/2""","="" 39.5164""","=""""","="""""
"=""2s.2p2""","=""2P""","=""3/2""","="" 39.7646""","=""""","="""""
"=""2p3""","=""4S*""","=""3/2""","="" 51.281+x""","=""""","="""""
"=""2p3""","=""2D*""","=""5/2""","="" 57.7450""","=""""","="""""
"=""2p3""","=""2D*""","=""3/2""","="" 57.7541""","=""""","="""""
"=""2p3""","=""2P*""","=""1/2""","="" 65.0486""","=""""","="""""
"=""2p3""","=""2P*""","=""3/2""","="" 65.0720""","=""""","="""""
"=""2s2.3s""","=""2S""","=""1/2""","="" 150.106""","=""""","="""""
"=""2s2.3d""","=""2D""","=""3/2""","="" 165.626""","=""""","="""""
"=""2s2.3d""","=""2D""","=""5/2""","="" 165.647""","=""""","="""""
"=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""","="" 167.551+x""","=""""","="""""
"=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""","="" 167.692+x""","=""""","="""""
"=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""","="" 167.943+x""","=""""","="""""
"=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""","="" 171.278""","=""""","="""""
"=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""","="" 171.564""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""2P""","=""1/2""","="" 174.616""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""2P""","=""3/2""","="" 174.743""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""2D""","=""3/2""","="" 178.613""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""2D""","=""5/2""","="" 178.888""","=""""","="""""
"=""2s.2p.(3P*).3p""","=""2S""","=""1/2""","="" 181.130""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4D*?""","=""1/2""","="" ""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4D*?""","=""3/2""","="" 183.033+x?""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4D*?""","=""5/2""","="" 183.074+x""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4D*?""","=""7/2""","="" 183.175+x?""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""","="" 183.291""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""","="" 183.334""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","="" 183.954+x""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","="" 184.045+x""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","="" 184.105+x""","=""""","="""""
"=""2s.2p.(1P*).3s""","=""2P*""","=""3/2""","="" 184.361""","=""""","="""""
"=""2s.2p.(1P*).3s""","=""2P*""","=""1/2""","="" 184.361""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2F*""","=""5/2""","="" 186.595""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2F*""","=""7/2""","="" 186.849""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""","="" 187.600?""","=""""","="""""
"=""2s.2p.(3P*).3d""","=""2P*""","=""1/2""","="" 187.744?""","=""""","="""""
"=""2s.2p.(1P*).3p""","=""2D""","=""3/2""","="" ""","=""""","="""""
"=""2s.2p.(1P*).3p""","=""2D""","=""5/2""","="" 192.033""","=""""","="""""
"=""2s.2p.(1P*).3p""","=""2P""","=""1/2""","="" 192.174""","=""""","="""""
"=""2s.2p.(1P*).3p""","=""2P""","=""3/2""","="" 192.245""","=""""","="""""
"=""2s.2p.(1P*).3p""","=""2S""","=""1/2""","="" 192.993""","=""""","="""""
"=""2p2.(3P).3s""","=""4P""","=""1/2""","="" 196.883+x""","=""""","="""""
"=""2p2.(3P).3s""","=""4P""","=""3/2""","="" 197.036+x""","=""""","="""""
"=""2p2.(3P).3s""","=""4P""","=""5/2""","="" 197.284+x""","=""""","="""""
"=""2s.2p.(1P*).3d""","=""2F*""","=""5/2""","="" 198.062?""","=""""","="""""
