Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""1s2.2s2""","=""1S""","=""0""","="" 0.0000""","=""""","=""L4995"""
"=""1s2.2s.2p""","=""3P*""","=""0""","="" 17.4203""","=""""","="""""
"=""1s2.2s.2p""","=""3P*""","=""1""","="" 17.5600""","=""""","="""""
"=""1s2.2s.2p""","=""3P*""","=""2""","="" 17.8650""","=""""","="""""
"=""1s2.2s.2p""","=""1P*""","=""1""","="" 33.6849""","=""""","="""""
"=""1s2.2p2""","=""3P""","=""0""","="" 45.3604""","=""""","="""""
"=""1s2.2p2""","=""3P""","=""1""","="" 45.5219""","=""""","="""""
"=""1s2.2p2""","=""3P""","=""2""","="" 45.791""","=""""","="""""
"=""1s2.2p2""","=""1D""","=""2""","="" 50.23""","=""""","="""""
"=""1s2.2p2""","=""1S""","=""0""","="" 61.9466""","=""""","="""""
"=""1s2.2s.3s""","=""3S""","=""1""","="" 190.000""","=""""","="""""
"=""1s2.2s.3s""","=""1S""","=""0""","="" 193.177""","=""""","="""""
"=""1s2.2s.3p""","=""1P*""","=""1""","="" 197.581""","=""""","="""""
"=""1s2.2s.3p""","=""3P*""","=""1""","="" 198.06""","=""0.12""","="""""
"=""1s2.2s.3p""","=""3P*""","=""0""","="" 198.06""","=""0.12""","="""""
"=""1s2.2s.3p""","=""3P*""","=""2""","="" 198.06""","=""0.12""","="""""
"=""1s2.2s.3d""","=""3D""","=""1""","="" 202.223""","=""""","="""""
"=""1s2.2s.3d""","=""3D""","=""2""","="" 202.239""","=""""","="""""
"=""1s2.2s.3d""","=""3D""","=""3""","="" 202.258""","=""""","="""""
"=""1s2.2s.3d""","=""1D""","=""2""","="" 205.142""","=""""","="""""
"=""1s2.2p.3s""","=""3P*""","=""0""","="" 212.030""","=""""","="""""
"=""1s2.2p.3s""","=""3P*""","=""1""","="" 212.168""","=""""","="""""
"=""1s2.2p.3s""","=""3P*""","=""2""","="" 212.497""","=""""","="""""
"=""1s2.2p.3s""","=""1P*""","=""1""","="" 216.109""","=""""","="""""
"=""1s2.2p.3p""","=""1P""","=""1""","="" 216.739""","=""""","="""""
"=""1s2.2p.3p""","=""3D""","=""1""","="" 217.651?""","=""""","="""""
"=""1s2.2p.3p""","=""3D""","=""2""","="" 217.775?""","=""""","="""""
"=""1s2.2p.3p""","=""3D""","=""3""","="" 218.084""","=""""","="""""
"=""1s2.2p.3p""","=""3S""","=""1""","="" 219.499""","=""""","="""""
"=""1s2.2p.3p""","=""3P""","=""0""","="" ""","=""""","="""""
"=""1s2.2p.3p""","=""3P""","=""1""","="" 220.529""","=""""","="""""
"=""1s2.2p.3p""","=""3P""","=""2""","="" 220.691""","=""""","="""""
"=""1s2.2p.3d""","=""1D*""","=""2""","="" 221.887""","=""""","="""""
"=""1s2.2p.3p""","=""1D""","=""2""","="" 222.660""","=""""","="""""
"=""1s2.2p.3d""","=""3D*""","=""1""","="" 224.079""","=""""","="""""
"=""1s2.2p.3d""","=""3D*""","=""2""","="" 224.146""","=""""","="""""
"=""1s2.2p.3d""","=""3D*""","=""3""","="" 224.270""","=""""","="""""
"=""1s2.2p.3d""","=""3P*""","=""2""","="" 225.059""","=""""","="""""
"=""1s2.2p.3d""","=""3P*""","=""1""","="" 225.181""","=""""","="""""
"=""1s2.2p.3d""","=""3P*""","=""0""","="" 225.246""","=""""","="""""
"=""1s2.2p.3d""","=""1F*""","=""3""","="" 227.473""","=""""","="""""
"=""1s2.2p.3d""","=""1P*""","=""1""","="" 228.324""","=""""","="""""
"=""1s2.2s.4p""","=""1P*""","=""1""","="" 256.484""","=""""","="""""
"=""1s2.2s.4d""","=""3D""","=""1""","="" 257.883""","=""""","="""""
"=""1s2.2s.4d""","=""3D""","=""2""","="" 257.883""","=""""","="""""
"=""1s2.2s.4d""","=""3D""","=""3""","="" 257.893""","=""""","="""""
"=""1s2.2s.4d""","=""1D""","=""2""","="" 258.865""","=""""","="""""
"=""1s2.2p.4p""","=""3D""","=""3""","="" 276.451""","=""""","="""""
"=""1s2.2p.4p""","=""3P""","=""2""","="" 277.148""","=""""","="""""
"=""1s2.2p.4p""","=""1D""","=""2""","="" 277.859""","=""""","="""""
"=""1s2.2p.4d""","=""1D*""","=""2""","="" 277.875""","=""""","="""""
"=""1s2.2p.4d""","=""3D*""","=""3""","="" 278.747""","=""""","="""""
"=""1s2.2p.4d""","=""3P*""","=""0""","="" ""","=""""","="""""
"=""1s2.2p.4d""","=""3P*""","=""2""","="" 278.896""","=""""","="""""
"=""1s2.2p.4d""","=""3P*""","=""1""","="" 278.961""","=""""","="""""
"=""1s2.2p.4d""","=""1F*""","=""3""","="" 279.779""","=""""","="""""
"=""1s2.2p.4d""","=""1P*""","=""1""","="" 279.995""","=""""","="""""
"=""1s2.2s.5p""","=""1P*""","=""1""","="" 282.792""","=""""","="""""
"=""1s2.2s.5d""","=""3D""","=""3""","="" 283.294""","=""""","="""""
"=""1s2.2s.5d""","=""3D""","=""2""","="" 283.294""","=""""","="""""
"=""1s2.2s.5d""","=""1D""","=""2""","="" 283.723""","=""""","="""""
"=""1s2.2s.6p""","=""1P*""","=""1""","="" 296.591""","=""""","="""""
"=""1s2.2s.6d""","=""3D""","=""2""","="" 296.978""","=""""","="""""
"=""1s2.2s.6d""","=""3D""","=""3""","="" 296.978""","=""""","="""""
"=""1s2.2s.6d""","=""1D""","=""2""","="" 297.251""","=""""","="""""
"=""1s2.2p.5p""","=""3P""","=""2""","="" 303.011""","=""""","="""""
"=""1s2.2p.5p""","=""1D""","=""2""","="" 303.334""","=""""","="""""
"=""1s2.2p.5d""","=""3D*""","=""3""","="" 303.962""","=""""","="""""
"=""1s2.2p.5d""","=""1F*""","=""3""","="" 304.323""","=""""","="""""
"=""1s2.2s.7p""","=""1P*""","=""1""","="" 305.094""","=""""","="""""
"=""1s2.2s.7d""","=""3D""","=""3""","="" 305.286""","=""""","="""""
"=""1s2.2s.7d""","=""3D""","=""2""","="" 305.286""","=""""","="""""
"=""1s2.2s.7d""","=""1D""","=""2""","="" 305.372""","=""""","="""""
"=""1s2.2p.6d""","=""1F*""","=""3""","="" 317.779?""","=""""","="""""
"=""1s2.2p.7d""","=""1F*""","=""3""","="" 325.850?""","=""""","="""""
"=""Mg X (2s 2S<1/2>)""","=""Limit""","=""---""","=""[327.99]""","=""0.04""","=""L11770"""
"=""Mg X (2p 2P*<1/2>)""","=""Limit""","=""---""","="" 347.74""","=""0.09""","=""L4995"""
"=""Mg X (2p 2P*<3/2>)""","=""Limit""","=""---""","="" 348.23""","=""0.09""","=""L4995"""
"=""1s.2s2.2p""","=""1P*""","=""1""","=""[1321.37]""","=""""","="""""
"=""1s.(2S).2s.2p2.(2D)""","=""3D""","=""3""","=""[1334.49]""","=""""","="""""
"=""1s.(2S).2s.2p2.(2D)""","=""3D""","=""2""","=""[1334.57]""","=""""","="""""
"=""1s.(2S).2s.2p2.(2D)""","=""3D""","=""1""","=""[1334.64]""","=""""","="""""
"=""1s.(2S).2s.2p2.(4P)""","=""3P""","=""0""","=""[1334.76]""","=""""","="""""
"=""1s.(2S).2s.2p2.(4P)""","=""3P""","=""1""","=""[1334.94]""","=""""","="""""
"=""1s.(2S).2s.2p2.(4P)""","=""3P""","=""2""","=""[1335.22]""","=""""","="""""
