Configuration,Term,J,Level (eV),Uncertainty (eV),Reference
"=""1s""","=""2S""","=""1/2""","="" 0.0000""","=""""","="""""
"=""2p""","=""2P*""","=""1/2""","=""(1471.69098)""","=""""","="""""
"=""2p""","=""2P*""","=""3/2""","=""(1472.63659)""","=""""","="""""
"=""2s""","=""2S""","=""1/2""","=""(1471.72927)""","=""""","="""""
"=""3p""","=""2P*""","=""1/2""","=""(1744.5591)""","=""""","="""""
"=""3p""","=""2P*""","=""3/2""","=""(1744.8393)""","=""""","="""""
"=""3s""","=""2S""","=""1/2""","=""(1744.5706)""","=""""","="""""
"=""3d""","=""2D""","=""3/2""","=""(1744.8388)""","=""""","="""""
"=""3d""","=""2D""","=""5/2""","=""(1744.9319)""","=""""","="""""
"=""4p""","=""2P*""","=""1/2""","=""(1840.0244)""","=""""","="""""
"=""4p""","=""2P*""","=""3/2""","=""(1840.1426)""","=""""","="""""
"=""4s""","=""2S""","=""1/2""","=""(1840.0293)""","=""""","="""""
"=""4d""","=""2D""","=""3/2""","=""(1840.1424)""","=""""","="""""
"=""4d""","=""2D""","=""5/2""","=""(1840.1817)""","=""""","="""""
"=""4f""","=""2F*""","=""5/2""","=""(1840.1815)""","=""""","="""""
"=""4f""","=""2F*""","=""7/2""","=""(1840.2011)""","=""""","="""""
"=""5p""","=""2P*""","=""1/2""","=""(1884.1948)""","=""""","="""""
"=""5p""","=""2P*""","=""3/2""","=""(1884.2553)""","=""""","="""""
"=""5s""","=""2S""","=""1/2""","=""(1884.1973)""","=""""","="""""
"=""5d""","=""2D""","=""3/2""","=""(1884.2552)""","=""""","="""""
"=""5d""","=""2D""","=""5/2""","=""(1884.2753)""","=""""","="""""
"=""5f""","=""2F*""","=""5/2""","=""(1884.2753)""","=""""","="""""
"=""5f""","=""2F*""","=""7/2""","=""(1884.2853)""","=""""","="""""
"=""5g""","=""2G""","=""7/2""","=""(1884.2853)""","=""""","="""""
"=""5g""","=""2G""","=""9/2""","=""(1884.2913)""","=""""","="""""
"=""6p""","=""2P*""","=""1/2""","=""(1908.1818)""","=""""","="""""
"=""6p""","=""2P*""","=""3/2""","=""(1908.2167)""","=""""","="""""
"=""6s""","=""2S""","=""1/2""","=""(1908.1831)""","=""""","="""""
"=""7p""","=""2P*""","=""1/2""","=""(1922.6419)""","=""""","="""""
"=""7p""","=""2P*""","=""3/2""","=""(1922.6640)""","=""""","="""""
"=""7s""","=""2S""","=""1/2""","=""(1922.643)""","=""""","="""""
"=""8p""","=""2P*""","=""1/2""","=""(1932.0256)""","=""""","="""""
"=""8p""","=""2P*""","=""3/2""","=""(1932.0403)""","=""""","="""""
"=""8s""","=""2S""","=""1/2""","=""(1932.0262)""","=""""","="""""
"=""9p""","=""2P*""","=""1/2""","=""(1938.4580)""","=""""","="""""
"=""9p""","=""2P*""","=""3/2""","=""(1938.4684)""","=""""","="""""
"=""9s""","=""2S""","=""1/2""","=""(1938.4585)""","=""""","="""""
"=""10p""","=""2P*""","=""1/2""","=""(1943.0587)""","=""""","="""""
"=""10p""","=""2P*""","=""3/2""","=""(1943.0662)""","=""""","="""""
"=""10s""","=""2S""","=""1/2""","=""(1943.0589)""","=""""","="""""
"=""""","=""Limit""","=""---""","=""(1962.66366)""","=""0.00012""","=""L7188"""
